adc_ok,adc_shape,bad_frame,frame_num,label_count,label_file,label_projection_hit_rate,projection_hits,projection_total,radar_file,range_fft_ok,range_peak_db,range_peak_max_db,range_peak_mean_db,range_peak_min_db,range_peak_std_db,rd_energy_mean_db,rd_energy_std_db,rd_map_ok,sample_bad_count,sample_count,sample_ok_count,sequence
True,128x255x4x2,False,3,8,0000000003.csv,,,,000003.mat,True,68.21136457625948,,,,,62.59998296375659,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,33,8,0000000033.csv,,,,000033.mat,True,67.70276771149008,,,,,62.59619605165304,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,64,8,0000000064.csv,,,,000064.mat,True,72.97109473992035,,,,,62.772227544274834,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,95,8,0000000095.csv,,,,000095.mat,True,68.54361271502691,,,,,62.966183489015506,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,126,8,0000000126.csv,,,,000126.mat,True,66.95059765878148,,,,,62.56875922381664,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,157,8,0000000157.csv,,,,000157.mat,True,67.03478964433205,,,,,62.291196161492756,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,188,8,0000000188.csv,,,,000188.mat,True,67.17909234604126,,,,,62.23363391938075,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,219,8,0000000219.csv,,,,000219.mat,True,67.25891798350189,,,,,62.25009244102425,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,250,8,0000000250.csv,,,,000250.mat,True,67.27867850991828,,,,,62.29956050635139,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,281,7,0000000281.csv,,,,000281.mat,True,67.40604491544488,,,,,62.25706482330867,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,311,7,0000000311.csv,,,,000311.mat,True,67.33328254028709,,,,,62.20149774476235,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,342,5,0000000342.csv,,,,000342.mat,True,67.47992683593819,,,,,62.18757201538906,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,373,5,0000000373.csv,,,,000373.mat,True,67.48843158944682,,,,,62.41254603499739,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,404,5,0000000404.csv,,,,000404.mat,True,67.51154383807315,,,,,62.147919942775026,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,435,5,0000000435.csv,,,,000435.mat,True,67.68542967428225,,,,,62.72998077370143,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,466,5,0000000466.csv,,,,000466.mat,True,69.73023065058719,,,,,62.866142698246456,,True,,,,2019_05_09_mlms003
True,128x255x4x2,False,497,5,0000000497.csv,,,,000497.mat,True,67.63665307731833,,,,,63.04332325140834,,True,,,,2019_05_09_mlms003
