new_frame_id,source_sequence,source_radar_file,source_label_file,new_radar_file,new_label_file,target_count,class_ids,class_counts,px_min,px_max,py_min,py_max,range_min,range_max,azimuth_min,azimuth_max,selection_reason
d1a_000001,2019_04_30_mlms000,000008.mat,0000000008.csv,2019_04_30_mlms000__000008.mat,2019_04_30_mlms000__0000000008.csv,2,0;80,0:1;80:1,0.24,1.38,2.76,4.03,2.770415131347647,4.259730038394452,4.969740728110304,18.902832687070102,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000002,2019_04_30_mlms000,000012.mat,0000000012.csv,2019_04_30_mlms000__000012.mat,2019_04_30_mlms000__0000000012.csv,2,0;80,0:1;80:1,0.12,1.38,2.98,4.03,2.9824151287169935,4.259730038394452,2.3059667239950272,18.902832687070102,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000003,2019_04_30_mlms000,000016.mat,0000000016.csv,2019_04_30_mlms000__000016.mat,2019_04_30_mlms000__0000000016.csv,2,0;80,0:1;80:1,0.21,1.37,2.98,4.26,2.9873901653449955,4.474874299910557,4.030958289984687,17.827595818112485,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000004,2019_04_30_mlms000,000017.mat,0000000017.csv,2019_04_30_mlms000__000017.mat,2019_04_30_mlms000__0000000017.csv,2,0;80,0:1;80:1,0.21,1.37,2.98,4.26,2.9873901653449955,4.474874299910557,4.030958289984687,17.827595818112485,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000005,2019_04_30_mlms000,000021.mat,0000000021.csv,2019_04_30_mlms000__000021.mat,2019_04_30_mlms000__0000000021.csv,2,0;80,0:1;80:1,0.28,1.37,3.18,4.26,3.192303243741108,4.474874299910557,5.031934222829207,17.827595818112485,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000006,2019_04_30_mlms000,000023.mat,0000000023.csv,2019_04_30_mlms000__000023.mat,2019_04_30_mlms000__0000000023.csv,2,0;80,0:1;80:1,0.28,1.37,3.18,4.26,3.192303243741108,4.474874299910557,5.031934222829207,17.827595818112485,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000007,2019_04_30_mlms000,000031.mat,0000000031.csv,2019_04_30_mlms000__000031.mat,2019_04_30_mlms000__0000000031.csv,2,0;80,0:1;80:1,0.38,1.37,3.17,4.48,3.1926947865400472,4.684794552592462,6.835646185461199,17.003819215667594,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000008,2019_04_30_mlms000,000033.mat,0000000033.csv,2019_04_30_mlms000__000033.mat,2019_04_30_mlms000__0000000033.csv,2,0;80,0:1;80:1,0.38,1.37,3.17,4.48,3.1926947865400472,4.684794552592462,6.835646185461199,17.003819215667594,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000009,2019_04_30_mlms000,000039.mat,0000000039.csv,2019_04_30_mlms000__000039.mat,2019_04_30_mlms000__0000000039.csv,2,0;80,0:1;80:1,0.46,1.43,3.38,4.69,3.4111581610942636,4.903162244919089,7.750036422919295,16.956676166233137,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000010,2019_04_30_mlms000,000046.mat,0000000046.csv,2019_04_30_mlms000__000046.mat,2019_04_30_mlms000__0000000046.csv,3,0;2;80,0:1;2:1;80:1,-2.49,1.43,2.0,4.69,3.1937595401031684,4.903162244919089,-51.22812190445468,16.956676166233137,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=0
d1a_000011,2019_04_30_mlms000,000047.mat,0000000047.csv,2019_04_30_mlms000__000047.mat,2019_04_30_mlms000__0000000047.csv,3,0;2;80,0:1;2:1;80:1,-2.39,1.43,2.12,4.69,3.1947613369389587,4.903162244919089,-48.426035146263324,16.956676166233137,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=0
d1a_000012,2019_04_30_mlms000,000049.mat,0000000049.csv,2019_04_30_mlms000__000049.mat,2019_04_30_mlms000__0000000049.csv,3,0;2;80,0:1;2:1;80:1,-2.24,1.43,2.28,4.69,3.1962478001556764,4.903162244919089,-44.49297093908523,16.956676166233137,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000013,2019_04_30_mlms000,000051.mat,0000000051.csv,2019_04_30_mlms000__000051.mat,2019_04_30_mlms000__0000000051.csv,3,0;2;80,0:1;2:1;80:1,-2.04,1.43,2.46,4.69,3.1958097565405863,4.903162244919089,-39.66784111834045,16.956676166233137,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000014,2019_04_30_mlms000,000053.mat,0000000053.csv,2019_04_30_mlms000__000053.mat,2019_04_30_mlms000__0000000053.csv,3,0;2;80,0:1;2:1;80:1,-2.04,1.43,2.46,4.69,3.1958097565405863,4.903162244919089,-39.66784111834045,16.956676166233137,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000015,2019_04_30_mlms000,000056.mat,0000000056.csv,2019_04_30_mlms000__000056.mat,2019_04_30_mlms000__0000000056.csv,3,0;2;80,0:1;2:1;80:1,-1.97,1.49,3.04,4.89,3.6224991373359914,5.111966353566893,-32.94429934469113,16.94616099823654,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000016,2019_04_30_mlms000,000058.mat,0000000058.csv,2019_04_30_mlms000__000058.mat,2019_04_30_mlms000__0000000058.csv,3,0;2;80,0:1;2:1;80:1,-1.97,1.49,3.04,4.89,3.6224991373359914,5.111966353566893,-32.94429934469113,16.94616099823654,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
