sequence,radar_count,label_count,image_count,aligned_count,radar_only_count,label_only_count,empty_label_frames,nonempty_label_frames,total_targets,target_count_min,target_count_mean,target_count_median,target_count_max,target_count_zero_frames,target_count_one_frames,target_count_two_plus_frames,multi_target_frame_prop,class_distribution,class_count,px_min,px_max,px_mean,px_std,py_min,py_max,py_mean,py_std,range_min,range_max,range_mean,range_std,range_span,azimuth_min,azimuth_max,azimuth_mean,azimuth_std,azimuth_span,wid_min,wid_max,len_min,len_max,label_anomaly_count
2019_04_09_bms1000,897,895,897,894,3,1,0,894,894,1.0,1.0,1.0,1.0,0,894,0,0.0,80:894,1,-2.40062618,3.55782695,0.2548474482550336,1.9951035760526155,4.39892267,14.29645046,8.730218349630873,2.5117673361798145,4.871273781722375,14.456705716587676,8.980538576702507,2.4333104932888414,9.585431934865301,-19.906020365042682,31.318122630801486,2.7257368476412065,14.336709042725461,51.22414299584417,0.6,1.7,0.6,1.7,0
2019_04_09_cms1000,898,898,898,896,2,2,1,895,895,0.0,0.9988839285714286,1.0,1.0,1,895,0,0.0,2:895,1,-1.42410014,4.94858847,2.2753907420782125,2.0808773497054953,8.92818955,9.60894922,9.18502251722905,0.16541567504855442,9.085852234896802,10.453109710823897,9.682417657136245,0.38761175676870496,1.3672574759270955,-8.430190371719771,28.808956813717824,13.491231140282057,12.202436004154123,37.239147185437595,4.5,4.5,1.8,1.8,0
2019_04_09_css1000,897,894,897,894,3,0,0,894,894,1.0,1.0,1.0,1.0,0,894,0,0.0,2:894,1,-0.46254258,-0.44686645,-0.455245847360179,0.0023864644117772135,8.14574201,8.29335269,8.227124288176734,0.021870917959755973,8.158122492301512,8.30618119954627,8.23971036739718,0.021907266338478885,0.14805870724475767,-3.2022271978319083,-3.122211344743006,-3.1672164689009867,0.014087721268494249,0.08001585308890213,4.5,4.5,1.8,1.8,0
2019_04_09_pms1000,898,895,898,895,3,0,2,893,893,0.0,0.9977653631284916,1.0,1.0,2,893,0,0.0,0:893,1,-2.67661729,1.75936856,-0.3735451056550952,1.0778169214525761,3.07156339,10.4677107,7.4809408176931695,1.7072678043575915,3.121141097921242,10.486962605480084,7.565023703120898,1.717812710097088,7.365821507558842,-17.688978306850895,11.972854694956261,-2.8437967558583575,8.17610093649333,29.661833001807157,0.7,0.7,0.7,0.7,0
2019_04_09_pms2000,898,895,898,895,3,0,0,895,1790,2.0,2.0,2.0,2.0,0,0,895,1.0,0:1790,1,-1.63,3.0,0.42596648044692736,1.3821469975725398,1.89,11.42,6.586446927374301,2.690041016743853,1.913164917094185,11.500695631134667,6.742154700432608,2.693089593697228,9.587530714040481,-25.620228919796038,28.744547367609226,3.532189866777924,12.82260142133494,54.36477628740526,0.7,0.7,0.7,0.7,0
2019_04_09_pms3000,898,895,898,895,3,0,0,895,2014,1.0,2.2502793296089387,2.0,3.0,0,52,843,0.9418994413407821,0:2014,1,-2.61581241,3.40661478,-0.018258275595829196,1.7265944076113855,1.12353422,9.8361345,6.37081382367428,2.4131698377042405,1.5539282456214494,9.950199269075432,6.630752139106114,2.3292155598585427,8.396271023453982,-52.4402508216841,38.933276930757835,-1.0335239387136677,18.74257313108182,91.37352775244193,0.7,0.7,0.7,0.7,0
2019_04_30_cm1s000,898,896,900,896,2,0,808,88,88,0.0,0.09821428571428571,0.0,1.0,808,88,0,0.0,2:88,1,-1.96875,4.59375,0.4643465909090909,2.1029335906520976,5.16719,25.48265,14.241898522727272,5.701916898504305,6.742371916365931,25.55199703712021,14.514321807754632,5.414419613701026,18.809625120754276,-4.614771287525167,39.97046383812863,6.165360093283565,13.585408267230944,44.585235125653796,1.8,4.5,1.8,4.5,0
2019_04_30_mlms000,898,897,900,897,1,0,0,897,1992,1.0,2.220735785953177,2.0,3.0,0,86,811,0.9041248606465998,0:897;2:250;80:845,3,-10.09,4.96,0.16136044176706826,3.8284826923343167,2.0,23.65,11.35570281124498,5.388209798007265,2.770415131347647,23.864771107219948,11.950130549604355,5.464658079856601,21.0943559758723,-59.15763264967725,19.77757284945977,1.4008822618875378,18.959485449952634,78.93520549913701,0.6,4.5,0.6,4.5,0
2019_04_30_mlms001,898,897,900,897,1,0,0,897,2361,1.0,2.632107023411371,3.0,4.0,0,40,857,0.955406911928651,0:1336;2:461;80:564,3,-10.02,3.67,-1.6284921643371453,3.994409712396716,1.87,23.77,12.471465480728504,5.4124680497372735,2.987607738643077,23.86363341991324,13.190810862874839,5.426054375519041,20.87602568127016,-59.117590946887006,25.630237965098644,-6.8306345779594775,19.554420824551656,84.74782891198565,0.6,4.5,0.6,4.5,0
2019_04_30_pbms002,898,897,900,897,1,0,0,897,1755,1.0,1.9565217391304348,2.0,2.0,0,39,858,0.9565217391304348,0:897;80:858,2,-5.17,5.68,-0.3444615384615385,2.92779291903062,6.59,23.86,12.076091168091168,3.7597882271553407,6.606738983795259,23.86416979490382,12.427888038637178,3.769112553428125,17.257430811108563,-25.692354635427577,24.651957142369376,-1.7561747902346374,13.7876451629155,50.34431177779695,0.6,1.7,0.6,1.7,0
