class_group,hit_count,input_type,mask_name,pd,protocol,sir_name,split_definition,target_count,target_pfa,target_scope,target_sir_db,threshold_source
cyclist_like,394,clean,narrow,0.6490939044481054,A_clean_threshold,,clean_peak_percentile,607,0.01,all,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,clean_peak_percentile,0,0.01,all,,clean_validation_background
pedestrian_like,340,clean,narrow,0.6367041198501873,A_clean_threshold,,clean_peak_percentile,534,0.01,all,,clean_validation_background
vehicle_like,866,clean,narrow,0.6894904458598726,A_clean_threshold,,clean_peak_percentile,1256,0.01,all,,clean_validation_background
cyclist_like,134,clean,narrow,0.49264705882352944,A_clean_threshold,,clean_peak_percentile,272,0.01,non_overlap_only,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,clean_peak_percentile,0,0.01,non_overlap_only,,clean_validation_background
pedestrian_like,192,clean,narrow,0.6357615894039735,A_clean_threshold,,clean_peak_percentile,302,0.01,non_overlap_only,,clean_validation_background
vehicle_like,182,clean,narrow,0.5986842105263158,A_clean_threshold,,clean_peak_percentile,304,0.01,non_overlap_only,,clean_validation_background
cyclist_like,394,interfered,narrow,0.6490939044481054,A_clean_threshold,light,clean_peak_percentile,607,0.01,all,10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,light,clean_peak_percentile,0,0.01,all,10.0,clean_validation_background
pedestrian_like,339,interfered,narrow,0.6348314606741573,A_clean_threshold,light,clean_peak_percentile,534,0.01,all,10.0,clean_validation_background
vehicle_like,865,interfered,narrow,0.6886942675159236,A_clean_threshold,light,clean_peak_percentile,1256,0.01,all,10.0,clean_validation_background
cyclist_like,134,interfered,narrow,0.49264705882352944,A_clean_threshold,light,clean_peak_percentile,272,0.01,non_overlap_only,10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,light,clean_peak_percentile,0,0.01,non_overlap_only,10.0,clean_validation_background
pedestrian_like,191,interfered,narrow,0.6324503311258278,A_clean_threshold,light,clean_peak_percentile,302,0.01,non_overlap_only,10.0,clean_validation_background
vehicle_like,181,interfered,narrow,0.5953947368421053,A_clean_threshold,light,clean_peak_percentile,304,0.01,non_overlap_only,10.0,clean_validation_background
cyclist_like,386,interfered,narrow,0.6359143327841845,A_clean_threshold,medium,clean_peak_percentile,607,0.01,all,0.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,medium,clean_peak_percentile,0,0.01,all,0.0,clean_validation_background
pedestrian_like,320,interfered,narrow,0.599250936329588,A_clean_threshold,medium,clean_peak_percentile,534,0.01,all,0.0,clean_validation_background
vehicle_like,864,interfered,narrow,0.6878980891719745,A_clean_threshold,medium,clean_peak_percentile,1256,0.01,all,0.0,clean_validation_background
cyclist_like,126,interfered,narrow,0.4632352941176471,A_clean_threshold,medium,clean_peak_percentile,272,0.01,non_overlap_only,0.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,medium,clean_peak_percentile,0,0.01,non_overlap_only,0.0,clean_validation_background
pedestrian_like,181,interfered,narrow,0.5993377483443708,A_clean_threshold,medium,clean_peak_percentile,302,0.01,non_overlap_only,0.0,clean_validation_background
vehicle_like,182,interfered,narrow,0.5986842105263158,A_clean_threshold,medium,clean_peak_percentile,304,0.01,non_overlap_only,0.0,clean_validation_background
cyclist_like,350,interfered,narrow,0.5766062602965404,A_clean_threshold,severe,clean_peak_percentile,607,0.01,all,-10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,severe,clean_peak_percentile,0,0.01,all,-10.0,clean_validation_background
pedestrian_like,292,interfered,narrow,0.5468164794007491,A_clean_threshold,severe,clean_peak_percentile,534,0.01,all,-10.0,clean_validation_background
vehicle_like,826,interfered,narrow,0.6576433121019108,A_clean_threshold,severe,clean_peak_percentile,1256,0.01,all,-10.0,clean_validation_background
cyclist_like,93,interfered,narrow,0.34191176470588236,A_clean_threshold,severe,clean_peak_percentile,272,0.01,non_overlap_only,-10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,severe,clean_peak_percentile,0,0.01,non_overlap_only,-10.0,clean_validation_background
pedestrian_like,167,interfered,narrow,0.5529801324503312,A_clean_threshold,severe,clean_peak_percentile,302,0.01,non_overlap_only,-10.0,clean_validation_background
vehicle_like,170,interfered,narrow,0.5592105263157895,A_clean_threshold,severe,clean_peak_percentile,304,0.01,non_overlap_only,-10.0,clean_validation_background
cyclist_like,394,clean,narrow,0.6490939044481054,B_fixed_pfa_recalibrated,,clean_peak_percentile,607,0.01,all,,input_specific_validation_background
motorbike_like,0,clean,narrow,,B_fixed_pfa_recalibrated,,clean_peak_percentile,0,0.01,all,,input_specific_validation_background
pedestrian_like,340,clean,narrow,0.6367041198501873,B_fixed_pfa_recalibrated,,clean_peak_percentile,534,0.01,all,,input_specific_validation_background
vehicle_like,866,clean,narrow,0.6894904458598726,B_fixed_pfa_recalibrated,,clean_peak_percentile,1256,0.01,all,,input_specific_validation_background
cyclist_like,134,clean,narrow,0.49264705882352944,B_fixed_pfa_recalibrated,,clean_peak_percentile,272,0.01,non_overlap_only,,input_specific_validation_background
motorbike_like,0,clean,narrow,,B_fixed_pfa_recalibrated,,clean_peak_percentile,0,0.01,non_overlap_only,,input_specific_validation_background
pedestrian_like,192,clean,narrow,0.6357615894039735,B_fixed_pfa_recalibrated,,clean_peak_percentile,302,0.01,non_overlap_only,,input_specific_validation_background
vehicle_like,182,clean,narrow,0.5986842105263158,B_fixed_pfa_recalibrated,,clean_peak_percentile,304,0.01,non_overlap_only,,input_specific_validation_background
cyclist_like,382,interfered,narrow,0.6293245469522241,B_fixed_pfa_recalibrated,light,clean_peak_percentile,607,0.01,all,10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,light,clean_peak_percentile,0,0.01,all,10.0,input_specific_validation_background
pedestrian_like,313,interfered,narrow,0.5861423220973783,B_fixed_pfa_recalibrated,light,clean_peak_percentile,534,0.01,all,10.0,input_specific_validation_background
vehicle_like,829,interfered,narrow,0.660031847133758,B_fixed_pfa_recalibrated,light,clean_peak_percentile,1256,0.01,all,10.0,input_specific_validation_background
cyclist_like,125,interfered,narrow,0.45955882352941174,B_fixed_pfa_recalibrated,light,clean_peak_percentile,272,0.01,non_overlap_only,10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,light,clean_peak_percentile,0,0.01,non_overlap_only,10.0,input_specific_validation_background
