background_cell_count,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,pd,protocol,sir_name,source_sequence,split_definition,target_count,target_pfa,target_sir_db,test_frame_count,threshold_source
11481,145,138,clean,narrow,0.012629561884853235,0.5111111111111111,A_clean_threshold,,2019_04_30_mlms000,clean_peak_percentile,270,0.01,,120,clean_validation_background
11737,198,189,clean,narrow,0.016869728209934397,0.6096774193548387,A_clean_threshold,,2019_04_30_mlms001,clean_peak_percentile,310,0.01,,129,clean_validation_background
6735,111,354,clean,narrow,0.01648106904231626,0.5774877650897227,A_clean_threshold,,2019_05_09_bm1s007,clean_peak_percentile,613,0.01,,124,clean_validation_background
7549,0,534,clean,narrow,0.0,0.9468085106382979,A_clean_threshold,,2019_05_09_cm1s003,clean_peak_percentile,564,0.01,,124,clean_validation_background
7094,6,385,clean,narrow,0.0008457851705666761,0.6015625,A_clean_threshold,,2019_05_09_mlms003,clean_peak_percentile,640,0.01,,103,clean_validation_background
11481,168,137,interfered,narrow,0.014632871701071335,0.5074074074074074,A_clean_threshold,light,2019_04_30_mlms000,clean_peak_percentile,270,0.01,10.0,120,clean_validation_background
11737,228,189,interfered,narrow,0.01942574763568203,0.6096774193548387,A_clean_threshold,light,2019_04_30_mlms001,clean_peak_percentile,310,0.01,10.0,129,clean_validation_background
6735,147,354,interfered,narrow,0.02182628062360802,0.5774877650897227,A_clean_threshold,light,2019_05_09_bm1s007,clean_peak_percentile,613,0.01,10.0,124,clean_validation_background
7549,57,534,interfered,narrow,0.007550668962776527,0.9468085106382979,A_clean_threshold,light,2019_05_09_cm1s003,clean_peak_percentile,564,0.01,10.0,124,clean_validation_background
7094,34,384,interfered,narrow,0.004792782633211165,0.6,A_clean_threshold,light,2019_05_09_mlms003,clean_peak_percentile,640,0.01,10.0,103,clean_validation_background
11481,250,135,interfered,narrow,0.02177510669802282,0.5,A_clean_threshold,medium,2019_04_30_mlms000,clean_peak_percentile,270,0.01,0.0,120,clean_validation_background
11737,294,187,interfered,narrow,0.02504899037232683,0.603225806451613,A_clean_threshold,medium,2019_04_30_mlms001,clean_peak_percentile,310,0.01,0.0,129,clean_validation_background
6735,186,344,interfered,narrow,0.027616926503340758,0.5611745513866232,A_clean_threshold,medium,2019_05_09_bm1s007,clean_peak_percentile,613,0.01,0.0,124,clean_validation_background
7549,130,534,interfered,narrow,0.017220823950192077,0.9468085106382979,A_clean_threshold,medium,2019_05_09_cm1s003,clean_peak_percentile,564,0.01,0.0,124,clean_validation_background
7094,90,370,interfered,narrow,0.012686777558500142,0.578125,A_clean_threshold,medium,2019_05_09_mlms003,clean_peak_percentile,640,0.01,0.0,103,clean_validation_background
11481,237,123,interfered,narrow,0.020642801149725633,0.45555555555555555,A_clean_threshold,severe,2019_04_30_mlms000,clean_peak_percentile,270,0.01,-10.0,120,clean_validation_background
11737,248,171,interfered,narrow,0.021129760586180456,0.5516129032258065,A_clean_threshold,severe,2019_04_30_mlms001,clean_peak_percentile,310,0.01,-10.0,129,clean_validation_background
6735,144,288,interfered,narrow,0.021380846325167038,0.4698205546492659,A_clean_threshold,severe,2019_05_09_bm1s007,clean_peak_percentile,613,0.01,-10.0,124,clean_validation_background
7549,135,533,interfered,narrow,0.017883163332891774,0.9450354609929078,A_clean_threshold,severe,2019_05_09_cm1s003,clean_peak_percentile,564,0.01,-10.0,124,clean_validation_background
