background_energy_increase_db,class_group,hit_count,input_type,mask_name,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold_source
0.0,cyclist_like,9,clean,narrow,0.0,0.0,0.0,0.125,D2A_fixed_pfa,,clean_peak_percentile,72,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,motorbike_like,0,clean,narrow,0.0,0.0,0.0,,D2A_fixed_pfa,,clean_peak_percentile,0,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,pedestrian_like,63,clean,narrow,0.0,0.0,0.0,0.984375,D2A_fixed_pfa,,clean_peak_percentile,64,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,vehicle_like,22,clean,narrow,0.0,0.0,0.0,1.0,D2A_fixed_pfa,,clean_peak_percentile,22,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,cyclist_like,5,clean,narrow,0.0,0.0,0.0,0.08771929824561403,D2A_fixed_pfa,,clean_peak_percentile,57,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
0.0,motorbike_like,0,clean,narrow,0.0,0.0,0.0,,D2A_fixed_pfa,,clean_peak_percentile,0,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
0.0,pedestrian_like,48,clean,narrow,0.0,0.0,0.0,0.9795918367346939,D2A_fixed_pfa,,clean_peak_percentile,49,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
0.0,vehicle_like,13,clean,narrow,0.0,0.0,0.0,1.0,D2A_fixed_pfa,,clean_peak_percentile,13,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
0.0,cyclist_like,5,clean,narrow,0.0,0.0,0.0,0.06944444444444445,D2A_fixed_pfa,,clean_peak_percentile,72,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,motorbike_like,0,clean,narrow,0.0,0.0,0.0,,D2A_fixed_pfa,,clean_peak_percentile,0,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,pedestrian_like,59,clean,narrow,0.0,0.0,0.0,0.921875,D2A_fixed_pfa,,clean_peak_percentile,64,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,vehicle_like,19,clean,narrow,0.0,0.0,0.0,0.8636363636363636,D2A_fixed_pfa,,clean_peak_percentile,22,0.0,0.0,0.001,all,,input_specific_validation_background
0.0,cyclist_like,2,clean,narrow,0.0,0.0,0.0,0.03508771929824561,D2A_fixed_pfa,,clean_peak_percentile,57,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,motorbike_like,0,clean,narrow,0.0,0.0,0.0,,D2A_fixed_pfa,,clean_peak_percentile,0,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,pedestrian_like,44,clean,narrow,0.0,0.0,0.0,0.8979591836734694,D2A_fixed_pfa,,clean_peak_percentile,49,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,vehicle_like,11,clean,narrow,0.0,0.0,0.0,0.8461538461538461,D2A_fixed_pfa,,clean_peak_percentile,13,0.0,0.0,0.001,non_overlap_only,,input_specific_validation_background
0.0,cyclist_like,9,clean,narrow,0.0,0.0,0.0,0.125,D2A_fixed_pfa,,cfar_margin,72,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,motorbike_like,0,clean,narrow,0.0,0.0,0.0,,D2A_fixed_pfa,,cfar_margin,0,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,pedestrian_like,63,clean,narrow,0.0,0.0,0.0,0.984375,D2A_fixed_pfa,,cfar_margin,64,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,vehicle_like,22,clean,narrow,0.0,0.0,0.0,1.0,D2A_fixed_pfa,,cfar_margin,22,0.0,0.0,0.01,all,,input_specific_validation_background
0.0,cyclist_like,5,clean,narrow,0.0,0.0,0.0,0.08771929824561403,D2A_fixed_pfa,,cfar_margin,57,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
0.0,motorbike_like,0,clean,narrow,0.0,0.0,0.0,,D2A_fixed_pfa,,cfar_margin,0,0.0,0.0,0.01,non_overlap_only,,input_specific_validation_background
