background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
6046,0.0,76,94,clean,narrow,0.01257029440952696,0.0,0.0,0.0,0.5949367088607594,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.0,0.0,0.01,,64,input_specific_validation_background
6046,0.0,16,83,clean,narrow,0.0026463777704267286,0.0,0.0,0.0,0.5253164556962026,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.0,0.0,0.001,,64,input_specific_validation_background
6046,0.0,76,94,clean,narrow,0.01257029440952696,0.0,0.0,0.0,0.5949367088607594,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.0,0.0,0.01,,64,input_specific_validation_background
6046,0.0,16,83,clean,narrow,0.0026463777704267286,0.0,0.0,0.0,0.5253164556962026,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.0,0.0,0.001,,64,input_specific_validation_background
5675,0.0,74,124,clean,default,0.01303964757709251,0.0,0.0,0.0,0.7848101265822784,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.0,0.0,0.01,,64,input_specific_validation_background
5675,0.0,16,113,clean,default,0.0028193832599118945,0.0,0.0,0.0,0.7151898734177216,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.0,0.0,0.001,,64,input_specific_validation_background
5675,0.0,74,124,clean,default,0.01303964757709251,0.0,0.0,0.0,0.7848101265822784,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.0,0.0,0.01,,64,input_specific_validation_background
5675,0.0,16,113,clean,default,0.0028193832599118945,0.0,0.0,0.0,0.7151898734177216,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.0,0.0,0.001,,64,input_specific_validation_background
6046,0.03294304413121694,78,94,model_clean,narrow,0.012901091630830301,0.028745329163134218,4112942808.51168,0.014094040191309887,0.5949367088607594,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.02571880171174905,-0.00022371172968082265,0.01,,64,input_specific_validation_background
6046,0.03294304413121694,16,83,model_clean,narrow,0.0026463777704267286,0.028745329163134218,4112942808.51168,0.014094040191309887,0.5253164556962026,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.02571880171174905,-0.00022371172968082265,0.001,,64,input_specific_validation_background
6046,0.03294304413121694,78,94,model_clean,narrow,0.012901091630830301,0.028745329163134218,4112942808.51168,0.014094040191309887,0.5949367088607594,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.02571880171174905,-0.00022371172968082265,0.01,,64,input_specific_validation_background
6046,0.03294304413121694,16,83,model_clean,narrow,0.0026463777704267286,0.028745329163134218,4112942808.51168,0.014094040191309887,0.5253164556962026,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.02571880171174905,-0.00022371172968082265,0.001,,64,input_specific_validation_background
5675,0.03050683715593981,77,124,model_clean,default,0.013568281938325991,0.028745329163134218,4112942808.51168,0.004710626355446834,0.7848101265822784,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.025922684016009567,0.0005531462193180632,0.01,,64,input_specific_validation_background
5675,0.03050683715593981,16,113,model_clean,default,0.0028193832599118945,0.028745329163134218,4112942808.51168,0.004710626355446834,0.7151898734177216,D2A_fixed_pfa,,2019_04_30_mlms000,clean_peak_percentile,158,0.025922684016009567,0.0005531462193180632,0.001,,64,input_specific_validation_background
5675,0.03050683715593981,77,124,model_clean,default,0.013568281938325991,0.028745329163134218,4112942808.51168,0.004710626355446834,0.7848101265822784,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.025922684016009567,0.0005531462193180632,0.01,,64,input_specific_validation_background
5675,0.03050683715593981,16,113,model_clean,default,0.0028193832599118945,0.028745329163134218,4112942808.51168,0.004710626355446834,0.7151898734177216,D2A_fixed_pfa,,2019_04_30_mlms000,cfar_margin,158,0.025922684016009567,0.0005531462193180632,0.001,,64,input_specific_validation_background
6046,0.3746165224937923,81,93,interfered,narrow,0.013397287462785313,0.9219444800545492,7980802112.626513,0.03937101055851855,0.5886075949367089,D2A_fixed_pfa,light,2019_04_30_mlms000,clean_peak_percentile,158,0.0032972589461287153,0.001465465896069256,0.01,10.0,64,input_specific_validation_background
6046,0.3746165224937923,11,82,interfered,narrow,0.0018193847171683757,0.9219444800545492,7980802112.626513,0.03937101055851855,0.5189873417721519,D2A_fixed_pfa,light,2019_04_30_mlms000,clean_peak_percentile,158,0.0032972589461287153,0.001465465896069256,0.001,10.0,64,input_specific_validation_background
6046,0.3746165224937923,81,93,interfered,narrow,0.013397287462785313,0.9219444800545492,7980802112.626513,0.03937101055851855,0.5886075949367089,D2A_fixed_pfa,light,2019_04_30_mlms000,cfar_margin,158,0.0032972589461287153,0.001465465896069256,0.01,10.0,64,input_specific_validation_background
