background_cell_count,background_energy_increase_db,bootstrap_pfa_ci_high,bootstrap_pfa_ci_low,bootstrap_pfa_std,f1,false_alarm_count,fn_cells,fp_cells,frame_level_pfa_mean,frame_level_pfa_std,input_type,mask_name,measured_pfa,mid_hits,mid_miss_rate,mid_n,mid_pd,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,overall_hits,overall_miss_rate,overall_n,overall_pd,precision,recall,sir_name,split_definition,strong_hits,strong_miss_rate,strong_n,strong_pd,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_scope,target_sir_db,threshold,threshold_source,tp_cells,weak_hits,weak_miss_rate,weak_n,weak_pd
15058,0.0,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,clean,narrow,0.010824810731836897,54,0.20588235294117652,68,0.7941176470588235,0.0,0.0,0.0,118,0.5972696245733788,293,0.40273037542662116,0.6091127098321343,0.10623170221664575,,clean_peak_percentile,8,0.0,8,1.0,0.0,0.0,0.01,non_overlap_only,,4.08894482405166,input_specific_validation_background,254,56,0.7419354838709677,217,0.25806451612903225
15058,0.0,0.002044752566643189,0.0009335863021519621,0.0002785893516544175,0.1417019638043897,22,2207,22,0.0014446818667900735,0.003632258015168361,clean,narrow,0.001461017399389029,53,0.22058823529411764,68,0.7794117647058824,0.0,0.0,0.0,90,0.6928327645051194,293,0.30716723549488056,0.8932038834951457,0.07695524884985362,,clean_peak_percentile,8,0.0,8,1.0,0.0,0.0,0.001,non_overlap_only,,5.804782930022925,input_specific_validation_background,184,29,0.8663594470046083,217,0.1336405529953917
15058,0.0,0.0122284259799693,0.009525757110666654,0.0007041728404531082,0.1809116809116809,163,2137,163,0.010500003167790636,0.009098037346226252,clean,narrow,0.010824810731836897,100,0.23664122137404575,131,0.7633587786259542,0.0,0.0,0.0,118,0.5972696245733788,293,0.40273037542662116,0.6091127098321343,0.10623170221664575,,cfar_margin,18,0.0,18,1.0,0.0,0.0,0.01,non_overlap_only,,4.08894482405166,input_specific_validation_background,254,0,1.0,144,0.0
15058,0.0,0.002044752566643189,0.0009335863021519621,0.0002785893516544175,0.1417019638043897,22,2207,22,0.0014446818667900735,0.003632258015168361,clean,narrow,0.001461017399389029,72,0.45038167938931295,131,0.549618320610687,0.0,0.0,0.0,90,0.6928327645051194,293,0.30716723549488056,0.8932038834951457,0.07695524884985362,,cfar_margin,18,0.0,18,1.0,0.0,0.0,0.001,non_overlap_only,,5.804782930022925,input_specific_validation_background,184,0,1.0,144,0.0
14165,0.0,0.012010512101263072,0.009092697234818722,0.00074184296841472,0.129757343550447,149,3258,149,0.01005841226032981,0.009616072981942801,clean,default,0.010518884574655841,14,0.0,14,1.0,0.0,0.0,0.0,80,0.6059113300492611,203,0.39408866995073893,0.630272952853598,0.07232346241457858,,clean_peak_percentile,0,,0,,0.0,0.0,0.01,non_overlap_only,,4.1612512870097,input_specific_validation_background,254,66,0.6507936507936508,189,0.3492063492063492
14165,0.0,0.0024462966443550447,0.0011662621792480315,0.00031736125209608717,0.0999194198227236,25,3326,25,0.0017762174181604196,0.0041633276135994365,clean,default,0.0017649135192375574,14,0.0,14,1.0,0.0,0.0,0.0,55,0.729064039408867,203,0.270935960591133,0.8815165876777251,0.05296127562642369,,clean_peak_percentile,0,,0,,0.0,0.0,0.001,non_overlap_only,,5.767059478566422,input_specific_validation_background,186,41,0.783068783068783,189,0.21693121693121692
14165,0.0,0.012010512101263072,0.009092697234818722,0.00074184296841472,0.129757343550447,149,3258,149,0.01005841226032981,0.009616072981942801,clean,default,0.010518884574655841,61,0.0,61,1.0,0.0,0.0,0.0,80,0.6059113300492611,203,0.39408866995073893,0.630272952853598,0.07232346241457858,,cfar_margin,0,,0,,0.0,0.0,0.01,non_overlap_only,,4.1612512870097,input_specific_validation_background,254,19,0.8661971830985915,142,0.13380281690140844
14165,0.0,0.0024462966443550447,0.0011662621792480315,0.00031736125209608717,0.0999194198227236,25,3326,25,0.0017762174181604196,0.0041633276135994365,clean,default,0.0017649135192375574,55,0.09836065573770492,61,0.9016393442622951,0.0,0.0,0.0,55,0.729064039408867,203,0.270935960591133,0.8815165876777251,0.05296127562642369,,cfar_margin,0,,0,,0.0,0.0,0.001,non_overlap_only,,5.767059478566422,input_specific_validation_background,186,0,1.0,142,0.0
15058,-0.0534743284966522,0.012222660658267543,0.009470891292346961,0.0007018642214334588,0.18097613110081937,162,2137,162,0.010435570178099915,0.009062585296583978,mse_model_clean,narrow,0.010758400850046488,54,0.20588235294117652,68,0.7941176470588235,0.037077187923062346,3768808581.07284,-0.0330111148293426,118,0.5972696245733788,293,0.40273037542662116,0.6105769230769231,0.10623170221664575,,clean_peak_percentile,8,0.0,8,1.0,0.03303427405380831,-0.027723257296861877,0.01,non_overlap_only,,4.066816449092142,input_specific_validation_background,254,56,0.7419354838709677,217,0.25806451612903225
15058,-0.0534743284966522,0.0020654412081547785,0.0009263858471471278,0.0002815655231041584,0.14313197383609083,22,2205,22,0.0014360665785695219,0.0036089980004800582,mse_model_clean,narrow,0.001461017399389029,53,0.22058823529411764,68,0.7794117647058824,0.037077187923062346,3768808581.07284,-0.0330111148293426,91,0.689419795221843,293,0.310580204778157,0.8942307692307693,0.07779171894604768,,clean_peak_percentile,8,0.0,8,1.0,0.03303427405380831,-0.027723257296861877,0.001,non_overlap_only,,5.74259476016596,input_specific_validation_background,186,30,0.8617511520737327,217,0.1382488479262673
15058,-0.0534743284966522,0.012222660658267543,0.009470891292346961,0.0007018642214334588,0.18097613110081937,162,2137,162,0.010435570178099915,0.009062585296583978,mse_model_clean,narrow,0.010758400850046488,100,0.23664122137404575,131,0.7633587786259542,0.037077187923062346,3768808581.07284,-0.0330111148293426,118,0.5972696245733788,293,0.40273037542662116,0.6105769230769231,0.10623170221664575,,cfar_margin,18,0.0,18,1.0,0.03303427405380831,-0.027723257296861877,0.01,non_overlap_only,,4.066816449092142,input_specific_validation_background,254,0,1.0,144,0.0
15058,-0.0534743284966522,0.0020654412081547785,0.0009263858471471278,0.0002815655231041584,0.14313197383609083,22,2205,22,0.0014360665785695219,0.0036089980004800582,mse_model_clean,narrow,0.001461017399389029,73,0.4427480916030534,131,0.5572519083969466,0.037077187923062346,3768808581.07284,-0.0330111148293426,91,0.689419795221843,293,0.310580204778157,0.8942307692307693,0.07779171894604768,,cfar_margin,18,0.0,18,1.0,0.03303427405380831,-0.027723257296861877,0.001,non_overlap_only,,5.74259476016596,input_specific_validation_background,186,0,1.0,144,0.0
14165,-0.05398372847846811,0.012080729768027655,0.009089365837449518,0.00074117747955572,0.13071227980597394,149,3256,149,0.01004907832962491,0.0096716815969432,mse_model_clean,default,0.010518884574655841,14,0.0,14,1.0,0.037077187923062346,3768808581.07284,-0.030401570275451206,80,0.6059113300492611,203,0.39408866995073893,0.6320987654320988,0.07289293849658314,,clean_peak_percentile,0,,0,,0.033096799713563205,-0.02697911275409631,0.01,non_overlap_only,,4.134214165881915,input_specific_validation_background,256,66,0.6507936507936508,189,0.3492063492063492
14165,-0.05398372847846811,0.002199139168273814,0.0009840601321964894,0.0002998992375549918,0.1,22,3326,22,0.0015445109525829865,0.0039006220507969494,mse_model_clean,default,0.0015531238969290506,14,0.0,14,1.0,0.037077187923062346,3768808581.07284,-0.030401570275451206,55,0.729064039408867,203,0.270935960591133,0.8942307692307693,0.05296127562642369,,clean_peak_percentile,0,,0,,0.033096799713563205,-0.02697911275409631,0.001,non_overlap_only,,5.73959656217094,input_specific_validation_background,186,41,0.783068783068783,189,0.21693121693121692
14165,-0.05398372847846811,0.012080729768027655,0.009089365837449518,0.00074117747955572,0.13071227980597394,149,3256,149,0.01004907832962491,0.0096716815969432,mse_model_clean,default,0.010518884574655841,61,0.0,61,1.0,0.037077187923062346,3768808581.07284,-0.030401570275451206,80,0.6059113300492611,203,0.39408866995073893,0.6320987654320988,0.07289293849658314,,cfar_margin,0,,0,,0.033096799713563205,-0.02697911275409631,0.01,non_overlap_only,,4.134214165881915,input_specific_validation_background,256,19,0.8661971830985915,142,0.13380281690140844
14165,-0.05398372847846811,0.002199139168273814,0.0009840601321964894,0.0002998992375549918,0.1,22,3326,22,0.0015445109525829865,0.0039006220507969494,mse_model_clean,default,0.0015531238969290506,55,0.09836065573770492,61,0.9016393442622951,0.037077187923062346,3768808581.07284,-0.030401570275451206,55,0.729064039408867,203,0.270935960591133,0.8942307692307693,0.05296127562642369,,cfar_margin,0,,0,,0.033096799713563205,-0.02697911275409631,0.001,non_overlap_only,,5.73959656217094,input_specific_validation_background,186,0,1.0,142,0.0
15058,8.982330614536874,0.01099645114105555,0.006761019698085655,0.0010424160551174436,0.3816549069916613,132,1796,132,0.00897612270323973,0.013821586889047626,bce_model_clean,narrow,0.008766104396334174,53,0.22058823529411764,68,0.7794117647058824,96.64645045885668,5.597346629024708e+18,-0.156770704115182,188,0.3583617747440273,293,0.6416382252559727,0.8184319119669876,0.24884985361773318,,clean_peak_percentile,6,0.25,8,0.75,5.491277166365006,1.8920908359846986,0.01,non_overlap_only,,4.294878292467542,input_specific_validation_background,595,129,0.4055299539170507,217,0.5944700460829493
15058,8.982330614536874,0.0012314995212716405,0.00033205988404465036,0.00022492730410056465,0.1699047619047619,11,2168,11,0.0007470590079492825,0.0029500165157179733,bce_model_clean,narrow,0.0007305086996945145,37,0.4558823529411765,68,0.5441176470588235,96.64645045885668,5.597346629024708e+18,-0.156770704115182,105,0.6416382252559727,293,0.3583617747440273,0.9529914529914529,0.0932664157256378,,clean_peak_percentile,3,0.625,8,0.375,5.491277166365006,1.8920908359846986,0.001,non_overlap_only,,8.393119480650427,input_specific_validation_background,223,65,0.7004608294930876,217,0.2995391705069124
15058,8.982330614536874,0.01099645114105555,0.006761019698085655,0.0010424160551174436,0.3816549069916613,132,1796,132,0.00897612270323973,0.013821586889047626,bce_model_clean,narrow,0.008766104396334174,81,0.38167938931297707,131,0.6183206106870229,96.64645045885668,5.597346629024708e+18,-0.156770704115182,188,0.3583617747440273,293,0.6416382252559727,0.8184319119669876,0.24884985361773318,,cfar_margin,12,0.33333333333333337,18,0.6666666666666666,5.491277166365006,1.8920908359846986,0.01,non_overlap_only,,4.294878292467542,input_specific_validation_background,595,95,0.3402777777777778,144,0.6597222222222222
15058,8.982330614536874,0.0012314995212716405,0.00033205988404465036,0.00022492730410056465,0.1699047619047619,11,2168,11,0.0007470590079492825,0.0029500165157179733,bce_model_clean,narrow,0.0007305086996945145,65,0.5038167938931297,131,0.4961832061068702,96.64645045885668,5.597346629024708e+18,-0.156770704115182,105,0.6416382252559727,293,0.3583617747440273,0.9529914529914529,0.0932664157256378,,cfar_margin,8,0.5555555555555556,18,0.4444444444444444,5.491277166365006,1.8920908359846986,0.001,non_overlap_only,,8.393119480650427,input_specific_validation_background,223,32,0.7777777777777778,144,0.2222222222222222
