input_type,magmse_db_to_clean,mse_db_to_clean,mse_power_to_clean,sir_name,target_sir_db
clean,0.0,0.0,0.0,,
mse_model_clean,0.037077187923062346,0.037077187923062346,3768808581.07284,,
bce_model_clean,96.64645045885668,96.64645045885668,5.597346629024708e+18,,
interfered,0.6745954173776785,0.6745954173776785,6931476138.267835,light,10.0
mse_output,0.037197092841276244,0.037197092841276244,4828063491.691271,light,10.0
ordinary_bce_output,95.97859993462919,95.97859993462919,3.2924473408499778e+19,light,10.0
interfered,6.143305051511957,6.143305051511957,509901819674.9918,medium,0.0
mse_output,0.09458952674767626,0.09458952674767626,30048002051.00707,medium,0.0
ordinary_bce_output,96.33787632635219,96.33787632635219,1.4535814031037175e+20,medium,0.0
interfered,30.499952188057968,30.499952188057968,45819236355587.664,severe,-10.0
mse_output,1.1170167649075045,1.1170167649075045,1192464057718.1023,severe,-10.0
ordinary_bce_output,90.01913836436538,90.01913836436538,3.196401090811408e+20,severe,-10.0
