baseline,detection_bce_loss,epoch,lr,stage,step,train_loss,val_loss
mse,,,0.0015,tiny_batch,1,0.24057652056217194,
mse,,,0.0015,tiny_batch,5,0.17002388834953308,
mse,,,0.0015,tiny_batch,10,0.06980497390031815,
mse,,,0.0015,tiny_batch,15,0.08229351043701172,
mse,,,0.0015,tiny_batch,20,0.047234028577804565,
mse,,,0.0015,tiny_batch,25,0.0521007776260376,
mse,,,0.0015,tiny_batch,30,0.0388655960559845,
mse,,,0.0015,tiny_batch,35,0.06755641102790833,
mse,,,0.0015,tiny_batch,40,0.04715936630964279,
mse,,,0.0015,tiny_batch,45,0.04143396019935608,
mse,,,0.0015,tiny_batch,50,0.015994900837540627,
mse,,,0.0015,tiny_batch,55,0.027761247009038925,
mse,,,0.0015,tiny_batch,60,0.01811540499329567,
mse,,,0.0015,tiny_batch,65,0.02075953781604767,
mse,,,0.0015,tiny_batch,70,0.024850547313690186,
mse,,,0.0015,tiny_batch,75,0.025781910866498947,
mse,,,0.0015,tiny_batch,80,0.01646551676094532,
mse,,,0.0015,tiny_batch,85,0.011144893243908882,
mse,,,0.0015,tiny_batch,90,0.018264040350914,
mse,,,0.0015,tiny_batch,95,0.010114269331097603,
mse,,,0.0015,tiny_batch,100,0.019282717257738113,
mse,,,0.0015,tiny_batch,105,0.016205022111535072,
mse,,,0.0015,tiny_batch,110,0.008534177206456661,
mse,,,0.0015,tiny_batch,115,0.012805894017219543,
mse,,,0.0015,tiny_batch,120,0.011083360761404037,
mse,,,0.0015,tiny_batch,125,0.00824623741209507,
mse,,,0.0015,tiny_batch,130,0.008960479870438576,
mse,,,0.0015,tiny_batch,135,0.0079790148884058,
mse,,,0.0015,tiny_batch,140,0.006861971225589514,
mse,,,0.0015,tiny_batch,145,0.009405839256942272,
mse,,,0.0015,tiny_batch,150,0.007504899054765701,
mse,,,0.0015,tiny_batch,155,0.006574645638465881,
mse,,,0.0015,tiny_batch,160,0.0061572822742164135,
mse,,,0.0015,tiny_batch,165,0.005356067791581154,
mse,,,0.0015,tiny_batch,170,0.006454849615693092,
mse,,,0.0015,tiny_batch,175,0.003217351622879505,
mse,,,0.0015,tiny_batch,180,0.00432110670953989,
mse,,,0.0015,tiny_batch,185,0.0031582440715283155,
mse,,,0.0015,tiny_batch,190,0.002837970620021224,
mse,,,0.0015,tiny_batch,195,0.004563582129776478,
mse,,,0.0015,tiny_batch,200,0.005109029356390238,
mse,,,0.0015,tiny_batch,205,0.005142120644450188,
mse,,,0.0015,tiny_batch,210,0.005528376437723637,
mse,,,0.0015,tiny_batch,215,0.003949624486267567,
mse,,,0.0015,tiny_batch,220,0.002443154575303197,
mse,,1,0.0015,small_subset,,0.013473748653195798,0.007713145110756159
mse,,2,0.0015,small_subset,,0.008593336627042541,0.008089450187981129
mse,,3,0.0015,small_subset,,0.006978263127772759,0.004839472007006407
mse,,4,0.0015,small_subset,,0.005291828853078186,0.004454586189240217
mse,,5,0.0015,small_subset,,0.004732651951878021,0.004379870370030403
mse,,6,0.0015,small_subset,,0.004476740333872537,0.0038510344456881285
mse,,7,0.0015,small_subset,,0.004807186298227559,0.004174239467829466
mse,,8,0.0015,small_subset,,0.004199594135085741,0.003166680922731757
mse,,9,0.0015,small_subset,,0.0034740425739437342,0.0038786374498158693
mse,,10,0.0015,small_subset,,0.0033344194250336536,0.0028129492420703173
