baseline,bce_term,epoch,grad_norm_before_clip,lambda_rec,lr,magmse_term,stage,step,temperature,train_loss,val_bce_term,val_loss,val_magmse_term
bce_rec_l0p1,1.0145485401153564,,0.46884387731552124,0.1,0.0003,5.609194278717041,tiny_batch,1,1.0,1.5754680633544922,,,
bce_rec_l0p1,0.8078594207763672,,0.873686671257019,0.1,0.0003,4.712372779846191,tiny_batch,10,1.0,1.2790967226028442,,,
bce_rec_l0p1,0.6543556451797485,,0.9553501605987549,0.1,0.0003,4.144212245941162,tiny_batch,20,1.0,1.0687768459320068,,,
bce_rec_l0p1,0.6969673037528992,,1.2666484117507935,0.1,0.0003,2.756535053253174,tiny_batch,30,1.0,0.9726208448410034,,,
bce_rec_l0p1,0.7070488929748535,,1.0796864032745361,0.1,0.0003,2.3962388038635254,tiny_batch,40,1.0,0.946672797203064,,,
bce_rec_l0p1,0.7459098696708679,,0.7234570980072021,0.1,0.0003,1.690040946006775,tiny_batch,50,1.0,0.9149139523506165,,,
bce_rec_l0p1,0.5822884440422058,,0.973430871963501,0.1,0.0003,1.3914886713027954,tiny_batch,60,1.0,0.7214373350143433,,,
bce_rec_l0p1,0.6680227518081665,,1.0874578952789307,0.1,0.0003,1.5435831546783447,tiny_batch,70,1.0,0.8223810791969299,,,
bce_rec_l0p1,0.7362215518951416,,0.6991720199584961,0.1,0.0003,0.9924657344818115,tiny_batch,80,1.0,0.8354681134223938,,,
bce_rec_l0p1,0.6818491816520691,,0.578112006187439,0.1,0.0003,1.050397276878357,tiny_batch,90,1.0,0.7868888974189758,,,
bce_rec_l0p1,0.7453711032867432,,0.48996710777282715,0.1,0.0003,0.6979002952575684,tiny_batch,100,1.0,0.8151611089706421,,,
bce_rec_l0p1,0.8145532608032227,,0.8835977911949158,0.1,0.0003,0.9470427632331848,tiny_batch,110,1.0,0.9092575311660767,,,
bce_rec_l0p1,0.633598268032074,,0.3648819029331207,0.1,0.0003,0.7650050520896912,tiny_batch,120,1.0,0.7100987434387207,,,
bce_rec_l0p1,1.3240499822298686,1,0.5743121146162351,0.1,0.0003,0.7959152324994405,small_subset,,1.0,1.4036415044466655,0.6654714345932007,0.7123413681983948,0.4686996042728424
bce_rec_l0p1,1.3082639877001445,2,0.5118312974770863,0.1,0.0003,0.7183822800715765,small_subset,,1.0,1.3801022132237752,0.6644988656044006,0.7041844725608826,0.39685580134391785
bce_rec_l0p1,1.3064373290538789,3,0.44677813311417897,0.1,0.0003,0.5640073206027348,small_subset,,1.0,1.3628380652268728,0.6643008589744568,0.689892590045929,0.2559172213077545
bce_rec_l0p1,1.3044585760434468,4,0.39587053845326103,0.1,0.0003,0.4699364936351776,small_subset,,1.0,1.3514522206783295,0.6635562777519226,0.687004804611206,0.23448505997657776
bce_rec_l0p1,1.303319897254308,5,0.3726669513185819,0.1,0.0003,0.4437296501795451,small_subset,,1.0,1.347692859172821,0.6628527641296387,0.6847650408744812,0.219122514128685
bce_rec_l0p1,1.3037699480851492,6,0.349418129324913,0.1,0.0003,0.4216699994603793,small_subset,,1.0,1.3459369472662608,0.6628367900848389,0.6830341219902039,0.201973557472229
bce_rec_l0p1,1.302729895512263,7,0.33197231849034625,0.1,0.0003,0.4063578882813454,small_subset,,1.0,1.343365686337153,0.6623624563217163,0.6804954409599304,0.18132996559143066
bce_rec_l0p1,1.3012917534510295,8,0.3120052083830039,0.1,0.0003,0.38788230429093046,small_subset,,1.0,1.3400799783070882,0.6622961163520813,0.6789306402206421,0.1663450449705124
bce_rec_l0p5,0.7125576138496399,,1.9277820587158203,0.5,0.0003,5.209038734436035,tiny_batch,1,1.0,3.3170769214630127,,,
bce_rec_l0p5,0.6623542308807373,,3.1321792602539062,0.5,0.0003,6.552103519439697,tiny_batch,10,1.0,3.938405990600586,,,
bce_rec_l0p5,0.8235489130020142,,2.3185203075408936,0.5,0.0003,2.2576446533203125,tiny_batch,20,1.0,1.9523712396621704,,,
bce_rec_l0p5,0.6778982281684875,,8.476279258728027,0.5,0.0003,5.208103179931641,tiny_batch,30,1.0,3.281949758529663,,,
bce_rec_l0p5,0.6597346663475037,,7.0002007484436035,0.5,0.0003,1.3790297508239746,tiny_batch,40,1.0,1.3492496013641357,,,
bce_rec_l0p5,0.8582432270050049,,2.697755813598633,0.5,0.0003,1.7697614431381226,tiny_batch,50,1.0,1.743124008178711,,,
bce_rec_l0p5,0.6748206615447998,,2.3643362522125244,0.5,0.0003,1.4640777111053467,tiny_batch,60,1.0,1.4068595170974731,,,
bce_rec_l0p5,0.6199885606765747,,3.8118093013763428,0.5,0.0003,1.2418826818466187,tiny_batch,70,1.0,1.2409298419952393,,,
bce_rec_l0p5,0.7662280201911926,,4.847666263580322,0.5,0.0003,1.0686602592468262,tiny_batch,80,1.0,1.300558090209961,,,
bce_rec_l0p5,0.7910919189453125,,2.7230799198150635,0.5,0.0003,1.093156099319458,tiny_batch,90,1.0,1.3376699686050415,,,
bce_rec_l0p5,0.6152809262275696,,3.2923052310943604,0.5,0.0003,0.695525586605072,tiny_batch,100,1.0,0.9630436897277832,,,
bce_rec_l0p5,0.6880793571472168,,2.1303231716156006,0.5,0.0003,0.7887280583381653,tiny_batch,110,1.0,1.082443356513977,,,
bce_rec_l0p5,0.5051968693733215,,5.065375328063965,0.5,0.0003,0.9218899011611938,tiny_batch,120,1.0,0.9661418199539185,,,
bce_rec_l0p5,1.344205857515335,1,2.299842937787374,0.5,0.0003,0.6519888376196226,small_subset,,1.0,1.6702002799510955,0.6698819994926453,0.8891127109527588,0.43846145272254944
