baseline,bce_term,epoch,lambda_rec,lr,magmse_term,stage,step,temperature,train_loss,val_loss
mse_magmse,,,,0.0015,,tiny_batch,1,,0.3133535385131836,
mse_magmse,,,,0.0015,,tiny_batch,10,,0.08062994480133057,
mse_magmse,,,,0.0015,,tiny_batch,20,,0.04423973336815834,
mse_magmse,,,,0.0015,,tiny_batch,30,,0.02483651414513588,
mse_magmse,,,,0.0015,,tiny_batch,40,,0.07035346329212189,
mse_magmse,,,,0.0015,,tiny_batch,50,,0.03915881738066673,
mse_magmse,,,,0.0015,,tiny_batch,60,,0.02741876058280468,
mse_magmse,,,,0.0015,,tiny_batch,70,,0.027947206050157547,
mse_magmse,,,,0.0015,,tiny_batch,80,,0.028427651152014732,
mse_magmse,,,,0.0015,,tiny_batch,90,,0.0326320044696331,
mse_magmse,,,,0.0015,,tiny_batch,100,,0.01758284494280815,
mse_magmse,,,,0.0015,,tiny_batch,110,,0.028540730476379395,
mse_magmse,,,,0.0015,,tiny_batch,120,,0.021452942863106728,
mse_magmse,,1,,0.0015,,small_subset,,,0.019400479529673855,0.009370420128107071
mse_magmse,,2,,0.0015,,small_subset,,,0.011271335586595039,0.007218420505523682
mse_magmse,,3,,0.0015,,small_subset,,,0.009055059783471127,0.0051683299243450165
mse_magmse,,4,,0.0015,,small_subset,,,0.006586212539114058,0.004415534436702728
mse_magmse,,5,,0.0015,,small_subset,,,0.005202285825895767,0.0047570266760885715
mse_magmse,,6,,0.0015,,small_subset,,,0.004536229215251902,0.003506059292703867
mse_magmse,,7,,0.0015,,small_subset,,,0.004221718000868956,0.0035468358546495438
mse_magmse,,8,,0.0015,,small_subset,,,0.005104520880461981,0.004119922872632742
