background_cell_count,background_energy_increase_db,false_alarm_count,hit_count,input_type,mask_name,measured_pfa,mse_db_to_clean,mse_power_to_clean,noise_floor_change_db,pd,protocol,sir_name,source_sequence,source_stage,split_definition,target_count,target_peak_abs_bias_db_mean,target_peak_bias_db_mean,target_pfa,target_sir_db,test_frame_count,threshold_source
11481,0.0,122,126,clean,narrow,0.010626252068635137,0.0,0.0,0.0,0.4666666666666667,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.0,0.0,0.01,,120,input_specific_validation_background
3577,0.0,41,52,clean,narrow,0.011462119094213028,0.0,0.0,0.0,0.4444444444444444,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.0,0.0,0.01,,40,input_specific_validation_background
11481,0.0,15,103,clean,narrow,0.0013065064018813691,0.0,0.0,0.0,0.3814814814814815,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.0,0.0,0.001,,120,input_specific_validation_background
3577,0.0,7,39,clean,narrow,0.0019569471624266144,0.0,0.0,0.0,0.3333333333333333,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.0,0.0,0.001,,40,input_specific_validation_background
11481,0.0,122,126,clean,narrow,0.010626252068635137,0.0,0.0,0.0,0.4666666666666667,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.0,0.0,0.01,,120,input_specific_validation_background
3577,0.0,41,52,clean,narrow,0.011462119094213028,0.0,0.0,0.0,0.4444444444444444,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.0,0.0,0.01,,40,input_specific_validation_background
11481,0.0,15,103,clean,narrow,0.0013065064018813691,0.0,0.0,0.0,0.3814814814814815,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.0,0.0,0.001,,120,input_specific_validation_background
3577,0.0,7,39,clean,narrow,0.0019569471624266144,0.0,0.0,0.0,0.3333333333333333,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.0,0.0,0.001,,40,input_specific_validation_background
10839,0.0,113,160,clean,default,0.01042531598855983,0.0,0.0,0.0,0.5925925925925926,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.0,0.0,0.01,,120,input_specific_validation_background
3326,0.0,36,55,clean,default,0.010823812387251955,0.0,0.0,0.0,0.4700854700854701,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.0,0.0,0.01,,40,input_specific_validation_background
10839,0.0,17,134,clean,default,0.0015684103699603285,0.0,0.0,0.0,0.4962962962962963,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,clean_peak_percentile,270,0.0,0.0,0.001,,120,input_specific_validation_background
3326,0.0,8,42,clean,default,0.0024052916416115455,0.0,0.0,0.0,0.358974358974359,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,clean_peak_percentile,117,0.0,0.0,0.001,,40,input_specific_validation_background
10839,0.0,113,160,clean,default,0.01042531598855983,0.0,0.0,0.0,0.5925925925925926,D2A_fixed_pfa,,2019_04_30_mlms000,D3-Rerun,cfar_margin,270,0.0,0.0,0.01,,120,input_specific_validation_background
3326,0.0,36,55,clean,default,0.010823812387251955,0.0,0.0,0.0,0.4700854700854701,D2A_fixed_pfa,,2019_04_30_mlms001,D3-Rerun,cfar_margin,117,0.0,0.0,0.01,,40,input_specific_validation_background
