input_type,magmse_db_to_clean,mse_db_to_clean,mse_power_to_clean,sir_name,source_stage,target_sir_db
clean,0.0,0.0,0.0,,D3-Rerun,
mse_model_clean,0.048443113856534624,0.048443113856534624,10139392847.331367,,D3-Rerun,
bce_rec_anchor_model_clean,0.0490234113069278,0.0490234113069278,1619806752.8283515,,D3-Rerun,
interfered,0.6288538260336516,0.6288538260336516,7367296713.801158,light,D3-Rerun,10.0
mse_output,0.05460026126283479,0.05460026126283479,3346019477.975049,light,D3-Rerun,10.0
bce_rec_anchor_output,0.07744136348483019,0.07744136348483019,5813339630.596611,light,D3-Rerun,10.0
interfered,6.312212692490721,6.312212692490721,485602335068.6868,medium,D3-Rerun,0.0
mse_output,0.1680695995408791,0.1680695995408791,32386571790.91976,medium,D3-Rerun,0.0
bce_rec_anchor_output,0.17283352196207177,0.17283352196207177,34098518193.401924,medium,D3-Rerun,0.0
interfered,31.359072439790605,31.359072439790605,46389343920779.0,severe,D3-Rerun,-10.0
mse_output,1.3579996531153278,1.3579996531153278,814190170113.2738,severe,D3-Rerun,-10.0
bce_rec_anchor_output,1.6821018422924492,1.6821018422924492,1600617661080.6626,severe,D3-Rerun,-10.0
balanced_mild_model_clean,0.04496563823807927,0.04496563823807927,1587008660.5105777,,D4,
balanced_full_model_clean,0.08177227784145832,0.08177227784145832,2020502123.8440273,,D4,
focal_g1_a0p25_model_clean,0.05635040509201576,0.05635040509201576,1550369897.5920346,,D4,
focal_g1_a0p5_model_clean,0.06017985001224664,0.06017985001224664,1658527876.6503756,,D4,
focal_g2_a0p25_model_clean,0.03811133264273742,0.03811133264273742,1655534825.488261,,D4,
focal_g2_a0p5_model_clean,0.046301839126765706,0.046301839126765706,1231991843.5239608,,D4,
balanced_mild_output,0.07288428935003848,0.07288428935003848,5244291413.723379,light,D4,10.0
balanced_full_output,0.09487846933256361,0.09487846933256361,4967447522.559852,light,D4,10.0
focal_g1_a0p25_output,0.07766359864028478,0.07766359864028478,5046137255.96153,light,D4,10.0
focal_g1_a0p5_output,0.08329633549368345,0.08329633549368345,5716724267.022069,light,D4,10.0
focal_g2_a0p25_output,0.07373073004926362,0.07373073004926362,5031957634.27733,light,D4,10.0
focal_g2_a0p5_output,0.07664463820642257,0.07664463820642257,4482502676.382208,light,D4,10.0
balanced_mild_output,0.16712267789838492,0.16712267789838492,34769066079.1117,medium,D4,0.0
balanced_full_output,0.19176706578524302,0.19176706578524302,37411248789.501465,medium,D4,0.0
focal_g1_a0p25_output,0.1718396334483478,0.1718396334483478,36352296174.453415,medium,D4,0.0
focal_g1_a0p5_output,0.1848407244501848,0.1848407244501848,30333460185.54954,medium,D4,0.0
focal_g2_a0p25_output,0.17148322568766824,0.17148322568766824,43999085068.414764,medium,D4,0.0
focal_g2_a0p5_output,0.18760873720030483,0.18760873720030483,40929585292.43595,medium,D4,0.0
balanced_mild_output,1.7751710723750196,1.7751710723750196,1011997153811.8988,severe,D4,-10.0
balanced_full_output,1.7394330274182601,1.7394330274182601,1592086527384.2268,severe,D4,-10.0
focal_g1_a0p25_output,1.9503585967199122,1.9503585967199122,1356813717032.8633,severe,D4,-10.0
focal_g1_a0p5_output,1.7387252190916,1.7387252190916,1245554010661.0933,severe,D4,-10.0
focal_g2_a0p25_output,1.7550358435141173,1.7550358435141173,1605924607236.4883,severe,D4,-10.0
focal_g2_a0p5_output,1.7390617142974336,1.7390617142974336,1644882314659.2336,severe,D4,-10.0
