alpha,background_det_term,baseline,det_term,epoch,family,gamma,grad_norm_before_clip,lambda_rec,lr,magmse_term,pos_weight,stage,step,target_det_term,temperature,train_loss,val_background_det_term,val_det_term,val_loss,val_magmse_term,val_target_det_term
0.25,0.004319698084145784,focal_g1_a0p25,0.1424688696861267,,focal,1.0,2.8464131355285645,0.5,0.0003,8.234600067138672,,tiny_batch,1,0.7519506216049194,1.0,4.259768962860107,,,,,
0.25,0.038355082273483276,focal_g1_a0p25,0.17076458036899567,,focal,1.0,4.551124095916748,0.5,0.0003,7.507531642913818,,tiny_batch,10,0.763454794883728,1.0,3.924530506134033,,,,,
0.25,0.029199745506048203,focal_g1_a0p25,0.17062287032604218,,focal,1.0,4.166055679321289,0.5,0.0003,3.0081863403320312,,tiny_batch,20,0.7520291805267334,1.0,1.6747159957885742,,,,,
0.25,0.009355250746011734,focal_g1_a0p25,0.17708759009838104,,focal,1.0,2.5001935958862305,0.5,0.0003,0.6757130026817322,,tiny_batch,30,0.7782669067382812,1.0,0.5149440765380859,,,,,
0.25,0.008656482212245464,focal_g1_a0p25,0.1829296350479126,,focal,1.0,2.9545814990997314,0.5,0.0003,1.6320382356643677,,tiny_batch,40,0.8048455715179443,1.0,0.9989487528800964,,,,,
0.25,0.0065840198658406734,focal_g1_a0p25,0.1658104956150055,,focal,1.0,6.715865612030029,0.5,0.0003,1.4549025297164917,,tiny_batch,50,0.7826036214828491,1.0,0.8932617902755737,,,,,
0.25,0.0036886928137391806,focal_g1_a0p25,0.12823861837387085,,focal,1.0,7.097712993621826,0.5,0.0003,1.2775620222091675,,tiny_batch,60,0.7477532625198364,1.0,0.7670196294784546,,,,,
0.25,0.005666225682944059,focal_g1_a0p25,0.1548396497964859,,focal,1.0,3.293532371520996,0.5,0.0003,1.5199744701385498,,tiny_batch,70,0.7681083083152771,1.0,0.9148268699645996,,,,,
0.25,0.003457966959103942,focal_g1_a0p25,0.11537488549947739,,focal,1.0,6.637094974517822,0.5,0.0003,1.5280673503875732,,tiny_batch,80,0.7605430483818054,1.0,0.8794085383415222,,,,,
0.25,0.004327638074755669,focal_g1_a0p25,0.1628349870443344,,focal,1.0,4.43034553527832,0.5,0.0003,0.9729859232902527,,tiny_batch,90,0.7638422250747681,1.0,0.6493279337882996,,,,,
0.25,0.004886848386377096,focal_g1_a0p25,0.174350306391716,,focal,1.0,6.368967056274414,0.5,0.0003,1.6564531326293945,,tiny_batch,100,0.7895026803016663,1.0,1.0025768280029297,,,,,
0.25,0.006343949120491743,focal_g1_a0p25,0.1652773916721344,,focal,1.0,1.8540658950805664,0.5,0.0003,0.6898400783538818,,tiny_batch,110,0.74482262134552,1.0,0.5101974010467529,,,,,
0.25,0.007790630217641592,focal_g1_a0p25,0.1969606578350067,,focal,1.0,3.3279500007629395,0.5,0.0003,0.7573418617248535,,tiny_batch,120,0.7760864496231079,1.0,0.5756316184997559,,,,,
0.25,0.008081489998536806,focal_g1_a0p25,0.3223010511199633,1,focal,1.0,2.469574784040451,0.5,0.0003,0.682807641128699,,small_subset,,0.7608514599005382,1.0,0.6637048731247585,0.008729086257517338,0.1565249115228653,0.3774084448814392,0.44176703691482544,0.7230957746505737
0.25,0.007110366808871428,focal_g1_a0p25,0.32138993034760155,2,focal,1.0,2.111836504538854,0.5,0.0003,0.5167237516244253,,small_subset,,0.7614822463194529,1.0,0.579751807252566,0.008978456258773804,0.15670888125896454,0.3385520577430725,0.36368632316589355,0.7230291962623596
0.25,0.006184667937923223,focal_g1_a0p25,0.3211896507938703,3,focal,1.0,1.8382992208003999,0.5,0.0003,0.35175587291518845,,small_subset,,0.7607238062222799,1.0,0.4970675871769587,0.008515126071870327,0.15636280179023743,0.2633333206176758,0.2139410525560379,0.7231324911117554
0.25,0.005689920528481404,focal_g1_a0p25,0.32079287280639013,4,focal,1.0,1.6099555917580923,0.5,0.0003,0.2539243077735106,,small_subset,,0.7616100525856018,1.0,0.4477550275127093,0.009011490270495415,0.15676918625831604,0.25060516595840454,0.1876719892024994,0.7231940031051636
0.25,0.005713663517187039,focal_g1_a0p25,0.3207472240924835,5,focal,1.0,1.5608990846077602,0.5,0.0003,0.23127849717934926,,small_subset,,0.7610027094682058,1.0,0.4363864746689796,0.008837609551846981,0.15658621490001678,0.24200168251991272,0.17083095014095306,0.7229760885238647
0.25,0.005622290577739477,focal_g1_a0p25,0.3204862435658773,6,focal,1.0,1.424704715013504,0.5,0.0003,0.2046581428249677,,small_subset,,0.7606449011961619,1.0,0.42281531463066735,0.008283819071948528,0.1561872363090515,0.23283874988555908,0.15330301225185394,0.7231705784797668
0.25,0.005622684086362521,focal_g1_a0p25,0.3205676187078158,7,focal,1.0,1.3725871002674104,0.5,0.0003,0.18186433474222818,,small_subset,,0.7608817903200785,1.0,0.41149978558222455,0.008258753456175327,0.15612684190273285,0.22973215579986572,0.14721062779426575,0.7229747176170349
0.25,0.005519220023415983,focal_g1_a0p25,0.320595213274161,8,focal,1.0,1.2925419517358143,0.5,0.0003,0.15650435489912828,,small_subset,,0.7608764549096425,1.0,0.3988473904132843,0.0086283590644598,0.15646982192993164,0.21861356496810913,0.12428748607635498,0.7232156991958618
0.5,0.024254465475678444,focal_g1_a0p5,0.3533269166946411,,focal,1.0,2.1137607097625732,0.5,0.0003,6.0492424964904785,,tiny_batch,1,1.5789536237716675,1.0,3.37794828414917,,,,,
0.5,0.02183653600513935,focal_g1_a0p5,0.29007142782211304,,focal,1.0,3.884791851043701,0.5,0.0003,6.679206848144531,,tiny_batch,10,1.5084394216537476,1.0,3.6296749114990234,,,,,
0.5,0.0021822629496455193,focal_g1_a0p5,0.25612083077430725,,focal,1.0,6.076639175415039,0.5,0.0003,6.082067966461182,,tiny_batch,20,1.519217848777771,1.0,3.2971549034118652,,,,,
0.5,0.004426450468599796,focal_g1_a0p5,0.3298777937889099,,focal,1.0,4.333463191986084,0.5,0.0003,2.447110891342163,,tiny_batch,30,1.5166246891021729,1.0,1.5534331798553467,,,,,
0.5,0.005291682668030262,focal_g1_a0p5,0.3265114724636078,,focal,1.0,3.3902482986450195,0.5,0.0003,1.1908128261566162,,tiny_batch,40,1.5130581855773926,1.0,0.9219179153442383,,,,,
0.5,0.005322546232491732,focal_g1_a0p5,0.3024807274341583,,focal,1.0,2.5706491470336914,0.5,0.0003,1.3497090339660645,,tiny_batch,50,1.5074409246444702,1.0,0.9773352146148682,,,,,
0.5,0.0045848810113966465,focal_g1_a0p5,0.3421155512332916,,focal,1.0,2.5873258113861084,0.5,0.0003,1.4607481956481934,,tiny_batch,60,1.5367094278335571,1.0,1.072489619255066,,,,,
0.5,0.004969457630068064,focal_g1_a0p5,0.38150644302368164,,focal,1.0,4.899734973907471,0.5,0.0003,1.117979884147644,,tiny_batch,70,1.5615465641021729,1.0,0.9404963850975037,,,,,
0.5,0.0020850100554525852,focal_g1_a0p5,0.2541235387325287,,focal,1.0,2.7141194343566895,0.5,0.0003,1.549264907836914,,tiny_batch,80,1.5275813341140747,1.0,1.028756022453308,,,,,
0.5,0.0033802136313170195,focal_g1_a0p5,0.24918371438980103,,focal,1.0,4.263314247131348,0.5,0.0003,0.9754927754402161,,tiny_batch,90,1.5109751224517822,1.0,0.7369301319122314,,,,,
0.5,0.0032792515121400356,focal_g1_a0p5,0.2723480463027954,,focal,1.0,1.1134862899780273,0.5,0.0003,1.0442066192626953,,tiny_batch,100,1.5802268981933594,1.0,0.7944513559341431,,,,,
0.5,0.0037042463663965464,focal_g1_a0p5,0.3138601779937744,,focal,1.0,2.897195816040039,0.5,0.0003,0.6077017188072205,,tiny_batch,110,1.5645976066589355,1.0,0.617711067199707,,,,,
0.5,0.004208938684314489,focal_g1_a0p5,0.27659738063812256,,focal,1.0,2.71877121925354,0.5,0.0003,0.6406713724136353,,tiny_batch,120,1.4783110618591309,1.0,0.5969330668449402,,,,,
0.5,0.005654787291617443,focal_g1_a0p5,0.6373849797248841,1,focal,1.0,2.2804263041416806,0.5,0.0003,0.6515799676378567,,small_subset,,1.5220110670725504,1.0,0.9631749647855758,0.006709166802465916,0.30460551381111145,0.5248355865478516,0.44046011567115784,1.446582317352295
0.5,0.004748995429836213,focal_g1_a0p5,0.6361328588922819,2,focal,1.0,1.9578523143132527,0.5,0.0003,0.501623973151048,,small_subset,,1.5189512221018473,1.0,0.8869448496898016,0.0064236074686050415,0.30435577034950256,0.47186869382858276,0.3350258767604828,1.4464699029922485
0.5,0.004275651523300136,focal_g1_a0p5,0.6362110021710395,3,focal,1.0,1.7579657137393951,0.5,0.0003,0.34487318436304726,,small_subset,,1.519703893661499,1.0,0.808647592663765,0.005992216523736715,0.303947389125824,0.4100494384765625,0.21220408380031586,1.4461497068405151
0.5,0.003929129838555431,focal_g1_a0p5,0.6351609049240748,4,focal,1.0,1.4866981158653896,0.5,0.0003,0.2542241612821817,,small_subset,,1.5174039300282796,1.0,0.7622729845841726,0.006653579883277416,0.30453646183013916,0.3988490402698517,0.18862515687942505,1.44646155834198
0.5,0.004026883284483726,focal_g1_a0p5,0.6354851760466893,5,focal,1.0,1.415129140218099,0.5,0.0003,0.2286278277138869,,small_subset,,1.5183148543039957,1.0,0.7497990896304448,0.006173735484480858,0.30406925082206726,0.3903224766254425,0.1725064516067505,1.446042776107788
0.5,0.0039677543736373385,focal_g1_a0p5,0.6351371031999588,6,focal,1.0,1.349312460621198,0.5,0.0003,0.2065220705171426,,small_subset,,1.517689770857493,1.0,0.7383981380860011,0.005849822424352169,0.3037812113761902,0.3795848488807678,0.15160726010799408,1.4458922147750854
0.5,0.003920734553830698,focal_g1_a0p5,0.6352329482634862,7,focal,1.0,1.3200465275843938,0.5,0.0003,0.18784389235079288,,small_subset,,1.518790856997172,1.0,0.7291548975308736,0.006037900224328041,0.30395016074180603,0.3741956353187561,0.14049096405506134,1.4459878206253052
0.5,0.00389939370409896,focal_g1_a0p5,0.6352091377973557,8,focal,1.0,1.2370822391907375,0.5,0.0003,0.1681994769970576,,small_subset,,1.5178009049097696,1.0,0.7193088763952256,0.0062945266254246235,0.3042169213294983,0.3717164993286133,0.1349991410970688,1.4462934732437134
0.25,0.01927756331861019,focal_g2_a0p25,0.13878993690013885,,focal,2.0,3.3299739360809326,0.5,0.0003,9.548293113708496,,tiny_batch,1,0.7426420450210571,1.0,4.912936687469482,,,,,
0.25,0.03816375881433487,focal_g2_a0p25,0.1850668489933014,,focal,2.0,3.31912899017334,0.5,0.0003,4.721874237060547,,tiny_batch,10,0.7617396116256714,1.0,2.546004056930542,,,,,
0.25,0.014357712119817734,focal_g2_a0p25,0.13637703657150269,,focal,2.0,5.795118808746338,0.5,0.0003,4.799365520477295,,tiny_batch,20,0.752895712852478,1.0,2.536059856414795,,,,,
0.25,0.016857227310538292,focal_g2_a0p25,0.16791293025016785,,focal,2.0,8.13822078704834,0.5,0.0003,3.6946897506713867,,tiny_batch,30,0.7406659126281738,1.0,2.0152578353881836,,,,,
0.25,0.0023853089660406113,focal_g2_a0p25,0.15323907136917114,,focal,2.0,7.915688991546631,0.5,0.0003,2.3011655807495117,,tiny_batch,40,0.761573314666748,1.0,1.3038218021392822,,,,,
0.25,0.004713916219770908,focal_g2_a0p25,0.1860409677028656,,focal,2.0,2.3791816234588623,0.5,0.0003,1.3758339881896973,,tiny_batch,50,0.7728812098503113,1.0,0.8739579916000366,,,,,
0.25,0.0025122056249529123,focal_g2_a0p25,0.13340747356414795,,focal,2.0,3.6821746826171875,0.5,0.0003,1.3318488597869873,,tiny_batch,60,0.7193196415901184,1.0,0.7993319034576416,,,,,
0.25,0.0016306489706039429,focal_g2_a0p25,0.1322961300611496,,focal,2.0,2.451939344406128,0.5,0.0003,1.351449966430664,,tiny_batch,70,0.7674297094345093,1.0,0.8080211281776428,,,,,
0.25,0.0029457651544362307,focal_g2_a0p25,0.15859653055667877,,focal,2.0,2.3740999698638916,0.5,0.0003,1.420767068862915,,tiny_batch,80,0.7335513830184937,1.0,0.8689800500869751,,,,,
0.25,0.0029052437748759985,focal_g2_a0p25,0.1484624743461609,,focal,2.0,2.4977197647094727,0.5,0.0003,0.9729080200195312,,tiny_batch,90,0.7306914329528809,1.0,0.6349164843559265,,,,,
0.25,0.0010059692431241274,focal_g2_a0p25,0.10899180173873901,,focal,2.0,4.342556476593018,0.5,0.0003,1.0049920082092285,,tiny_batch,100,0.7209116220474243,1.0,0.6114878058433533,,,,,
0.25,0.0011269687674939632,focal_g2_a0p25,0.14629612863063812,,focal,2.0,4.276553630828857,0.5,0.0003,0.8045555353164673,,tiny_batch,110,0.7431027293205261,1.0,0.548573911190033,,,,,
0.25,0.003972257021814585,focal_g2_a0p25,0.1500633805990219,,focal,2.0,2.405203104019165,0.5,0.0003,0.5724254846572876,,tiny_batch,120,0.7265734672546387,1.0,0.4362761378288269,,,,,
0.25,0.00491858963437456,focal_g2_a0p25,0.30943356653054555,1,focal,2.0,2.2879502069950104,0.5,0.0003,0.6453129185239473,,small_subset,,0.7350979638099671,1.0,0.6320900250474611,0.005368788260966539,0.14786222577095032,0.37072592973709106,0.4457274377346039,0.6941066384315491
0.25,0.0037915805554560697,focal_g2_a0p25,0.30864862859249115,2,focal,2.0,2.095299549102783,0.5,0.0003,0.48637509971857074,,small_subset,,0.7349284839630127,1.0,0.5518361787001292,0.005194290541112423,0.14779281616210938,0.3104667663574219,0.325347900390625,0.6944400072097778
0.25,0.003183820236881729,focal_g2_a0p25,0.30825144787629444,3,focal,2.0,1.774982940951983,0.5,0.0003,0.3119311726589998,,small_subset,,0.7343562126159668,1.0,0.46421703378359475,0.005508566740900278,0.14803138375282288,0.2636885344982147,0.2313142865896225,0.6943883895874023
0.25,0.002927063321888757,focal_g2_a0p25,0.30794762124617897,4,focal,2.0,1.5988824850320815,0.5,0.0003,0.25441555939614774,,small_subset,,0.7334611960252126,1.0,0.43515540411074954,0.004991319961845875,0.14754052460193634,0.23887093365192413,0.18266081809997559,0.6939985156059265
0.25,0.00290551329999289,focal_g2_a0p25,0.3080830563108126,5,focal,2.0,1.5034760936101277,0.5,0.0003,0.23157779941956202,,small_subset,,0.7345473134517669,1.0,0.4238719563682874,0.004789447411894798,0.1473778784275055,0.23330074548721313,0.1718457192182541,0.6939863562583923
0.25,0.0029065017795801397,focal_g2_a0p25,0.3084044448037942,6,focal,2.0,1.38111470023791,0.5,0.0003,0.20877192795276642,,small_subset,,0.7357416359583536,1.0,0.4127904094258944,0.00548148900270462,0.14797374606132507,0.22677698731422424,0.15760648250579834,0.6942135691642761
0.25,0.002839453283280212,focal_g2_a0p25,0.30799677098790806,7,focal,2.0,1.341048743724823,0.5,0.0003,0.18901992596685888,,small_subset,,0.7342711786429087,1.0,0.4025067336360614,0.004881597589701414,0.14748689532279968,0.21545308828353882,0.13593237102031708,0.694159984588623
0.25,0.0027911998032262393,focal_g2_a0p25,0.307932823797067,8,focal,2.0,1.2748467886447907,0.5,0.0003,0.16435826912522317,,small_subset,,0.7340368111928304,1.0,0.3901119596759478,0.005216748919337988,0.14770333468914032,0.21053901314735413,0.1256713718175888,0.6939213871955872
0.5,0.0026084259152412415,focal_g2_a0p5,0.3466114401817322,,focal,2.0,1.5008585453033447,0.5,0.0003,3.108900785446167,,tiny_batch,1,1.5742301940917969,1.0,1.901061773300171,,,,,
0.5,0.0003027861239388585,focal_g2_a0p5,0.26495543122291565,,focal,2.0,1.3976088762283325,0.5,0.0003,1.0612304210662842,,tiny_batch,10,1.4325406551361084,1.0,0.7955706119537354,,,,,
0.5,0.0015888283960521221,focal_g2_a0p5,0.3067556917667389,,focal,2.0,5.674939155578613,0.5,0.0003,4.461875915527344,,tiny_batch,20,1.537374496459961,1.0,2.537693738937378,,,,,
0.5,0.0019129138672724366,focal_g2_a0p5,0.2964200973510742,,focal,2.0,6.641762733459473,0.5,0.0003,2.3917548656463623,,tiny_batch,30,1.490630865097046,1.0,1.4922975301742554,,,,,
0.5,0.001005655387416482,focal_g2_a0p5,0.2962380051612854,,focal,2.0,8.761548042297363,0.5,0.0003,2.027350664138794,,tiny_batch,40,1.4551819562911987,1.0,1.3099133968353271,,,,,
0.5,0.001894862507469952,focal_g2_a0p5,0.32577037811279297,,focal,2.0,4.088127136230469,0.5,0.0003,1.0053654909133911,,tiny_batch,50,1.5165855884552002,1.0,0.8284531235694885,,,,,
0.5,0.00136488804128021,focal_g2_a0p5,0.331430047750473,,focal,2.0,2.9820597171783447,0.5,0.0003,1.3005883693695068,,tiny_batch,60,1.5295666456222534,1.0,0.9817242622375488,,,,,
0.5,0.0030899785924702883,focal_g2_a0p5,0.2700231373310089,,focal,2.0,9.952845573425293,0.5,0.0003,1.9256136417388916,,tiny_batch,70,1.5479658842086792,1.0,1.2328299283981323,,,,,
0.5,0.0018782546976581216,focal_g2_a0p5,0.3159756064414978,,focal,2.0,4.921894550323486,0.5,0.0003,0.9888988733291626,,tiny_batch,80,1.4613205194473267,1.0,0.8104250431060791,,,,,
0.5,0.0006653402815572917,focal_g2_a0p5,0.21637466549873352,,focal,2.0,5.377188205718994,0.5,0.0003,1.4150826930999756,,tiny_batch,90,1.438727617263794,1.0,0.9239159822463989,,,,,
0.5,0.0015922840684652328,focal_g2_a0p5,0.26669037342071533,,focal,2.0,2.533568859100342,0.5,0.0003,1.0484211444854736,,tiny_batch,100,1.4362406730651855,1.0,0.7909009456634521,,,,,
0.5,0.0016969188582152128,focal_g2_a0p5,0.33810633420944214,,focal,2.0,5.125532150268555,0.5,0.0003,1.1678431034088135,,tiny_batch,110,1.5386263132095337,1.0,0.9220278859138489,,,,,
