background_cell_count,clean_false_alarm_count,clean_measured_pfa,false_alarm_count,false_alarm_count_mean,false_alarm_count_std,magmse_db_to_clean,magmse_db_to_clean_mean,magmse_db_to_clean_std,mask_name,measured_pfa,measured_pfa_mean,measured_pfa_std,method,mid_hits,mid_n,mid_pd,mid_pd_mean,mid_pd_std,model_clean_magmse_db_to_clean,model_clean_mse_db_to_clean,model_clean_mse_db_to_clean_mean,model_clean_mse_db_to_clean_std,model_label,mse_db_to_clean,mse_db_to_clean_mean,mse_db_to_clean_std,n_seeds,overall_hits,overall_n,overall_pd,overall_pd_mean,overall_pd_std,row_kind,seed,split_mode,strong_hits,strong_n,strong_pd,strong_pd_mean,strong_pd_std,target_peak_abs_bias_db_mean,target_peak_abs_bias_db_mean_mean,target_peak_abs_bias_db_mean_std,target_pfa,target_scope,weak_hits,weak_miss,weak_n,weak_pd,weak_pd_mean,weak_pd_std
15058,167,0.01109045025899854,157,,,0.18245390886414828,,,narrow,0.010426351441094436,,,balanced_mild,88,114,0.7719298245614035,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,183,387,0.4728682170542636,,,seed,0,original,30,30,1.0,,,0.10785521202921028,,,0.01,all,65,178,243,0.2674897119341564,,
15058,19,0.0012617877540177977,25,,,0.18245390886414828,,,narrow,0.0016602470447602603,,,balanced_mild,82,114,0.7192982456140351,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,148,387,0.38242894056847543,,,seed,0,original,30,30,1.0,,,0.10785521202921028,,,0.001,all,36,207,243,0.14814814814814814,,
15058,167,0.01109045025899854,157,,,0.18245390886414828,,,narrow,0.010426351441094436,,,balanced_mild,54,68,0.7941176470588235,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,121,293,0.4129692832764505,,,seed,0,original,8,8,1.0,,,0.10785521202921028,,,0.01,non_overlap_only,59,158,217,0.271889400921659,,
15058,19,0.0012617877540177977,25,,,0.18245390886414828,,,narrow,0.0016602470447602603,,,balanced_mild,53,68,0.7794117647058824,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,93,293,0.3174061433447099,,,seed,0,original,8,8,1.0,,,0.10785521202921028,,,0.001,non_overlap_only,32,185,217,0.14746543778801843,,
14165,152,0.010730674196964348,148,,,0.18245390886414828,,,default,0.01044828803388634,,,balanced_mild,80,82,0.975609756097561,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,222,387,0.5736434108527132,,,seed,0,original,43,43,1.0,,,0.11693076119297342,,,0.01,all,99,163,262,0.37786259541984735,,
14165,19,0.0013413342746205436,25,,,0.18245390886414828,,,default,0.0017649135192375574,,,balanced_mild,76,82,0.926829268292683,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,181,387,0.46770025839793283,,,seed,0,original,43,43,1.0,,,0.11693076119297342,,,0.001,all,62,200,262,0.2366412213740458,,
14165,152,0.010730674196964348,148,,,0.18245390886414828,,,default,0.01044828803388634,,,balanced_mild,14,14,1.0,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,84,203,0.41379310344827586,,,seed,0,original,0,0,,,,0.11693076119297342,,,0.01,non_overlap_only,70,119,189,0.37037037037037035,,
14165,19,0.0013413342746205436,25,,,0.18245390886414828,,,default,0.0017649135192375574,,,balanced_mild,14,14,1.0,,,0.04329419667654481,0.04329419667654481,,,balanced_mild_seed0,0.18245390886414828,,,,57,203,0.28078817733990147,,,seed,0,original,0,0,,,,0.11693076119297342,,,0.001,non_overlap_only,43,146,189,0.2275132275132275,,
15058,163,0.010824810731836897,154,,,0.17380048411022275,,,narrow,0.010227121795723203,,,weak_peak_w2p0,88,114,0.7719298245614035,,,0.039455122466149996,0.039455122466149996,,,weak_peak_w2p0_seed0,0.17380048411022275,,,,176,387,0.45478036175710596,,,seed,0,original,30,30,1.0,,,0.10573286078339462,,,0.01,all,58,185,243,0.23868312757201646,,
15058,18,0.0011953778722273874,21,,,0.17380048411022275,,,narrow,0.0013946075175986187,,,weak_peak_w2p0,82,114,0.7192982456140351,,,0.039455122466149996,0.039455122466149996,,,weak_peak_w2p0_seed0,0.17380048411022275,,,,145,387,0.37467700258397935,,,seed,0,original,30,30,1.0,,,0.10573286078339462,,,0.001,all,33,210,243,0.13580246913580246,,
