actual_train_samples,background_cell_count,balanced_f1,balanced_false_alarm_count,balanced_magmse_db_to_clean,balanced_measured_pfa,balanced_mid_pd,balanced_model_clean_mse_db_to_clean,balanced_mse_db_to_clean,balanced_overall_pd,balanced_strong_pd,balanced_target_peak_abs_bias_db_mean,balanced_weak_hits,balanced_weak_n,balanced_weak_pd,capacity,experiment_type,f1_delta,false_alarm_count_delta,mask_name,measured_pfa_delta,mid_pd_delta,overall_pd_delta,requested_train_samples,strong_pd_delta,target_pfa,target_scope,train_unique_frames,train_uses_repeated_frames,weak_hit_delta,weak_pd_delta,weak_weak_hits,weak_weak_n,weak_weighted_f1,weak_weighted_false_alarm_count,weak_weighted_magmse_db_to_clean,weak_weighted_measured_pfa,weak_weighted_mid_pd,weak_weighted_model_clean_mse_db_to_clean,weak_weighted_mse_db_to_clean,weak_weighted_overall_pd,weak_weighted_strong_pd,weak_weighted_target_peak_abs_bias_db_mean,weak_weighted_weak_pd
600,14165,0.10424502955400322,16,0.20922894388344543,0.0011295446523120368,0.926829268292683,0.06770190471870907,0.20922894388344543,0.46770025839793283,1.0,0.09831958640374842,62,262,0.2366412213740458,current_simple_fcn_h128,train_size,-0.002149382052659854,4,default,0.00028238616307800913,-0.03658536585365857,-0.010335917312661536,600,0.0,0.001,all,300,True,-1,-0.0038167938931297773,61,262,0.10209564750134337,20,0.22473943141816527,0.0014119308153900459,0.8902439024390244,0.07148711254687744,0.22473943141816527,0.4573643410852713,1.0,0.135490678451549,0.23282442748091603
600,14165,0.13780828883803714,150,0.20922894388344543,0.010589481115425344,0.975609756097561,0.06770190471870907,0.20922894388344543,0.5710594315245479,1.0,0.09831958640374842,98,262,0.37404580152671757,current_simple_fcn_h128,train_size,-0.003897901872660342,3,default,0.00021178962230850723,0.0,-0.010335917312661591,600,0.0,0.01,all,300,True,-4,-0.01526717557251911,94,262,0.1339103869653768,153,0.22473943141816527,0.010801270737733851,0.975609756097561,0.07148711254687744,0.22473943141816527,0.5607235142118863,1.0,0.135490678451549,0.35877862595419846
600,14165,0.10424502955400322,16,0.20922894388344543,0.0011295446523120368,1.0,0.06770190471870907,0.20922894388344543,0.28078817733990147,,0.09831958640374842,43,189,0.2275132275132275,current_simple_fcn_h128,train_size,-0.002149382052659854,4,default,0.00028238616307800913,0.0,-0.0049261083743842304,600,0.0,0.001,non_overlap_only,300,True,-1,-0.005291005291005291,42,189,0.10209564750134337,20,0.22473943141816527,0.0014119308153900459,1.0,0.07148711254687744,0.22473943141816527,0.27586206896551724,,0.135490678451549,0.2222222222222222
600,14165,0.13780828883803714,150,0.20922894388344543,0.010589481115425344,1.0,0.06770190471870907,0.20922894388344543,0.4187192118226601,,0.09831958640374842,71,189,0.37566137566137564,current_simple_fcn_h128,train_size,-0.003897901872660342,3,default,0.00021178962230850723,0.0,-0.019704433497536922,600,0.0,0.01,non_overlap_only,300,True,-4,-0.021164021164021163,67,189,0.1339103869653768,153,0.22473943141816527,0.010801270737733851,1.0,0.07148711254687744,0.22473943141816527,0.39901477832512317,,0.135490678451549,0.3544973544973545
600,15058,0.14917339484813535,16,0.20922894388344543,0.0010625581086465667,0.7192982456140351,0.06770190471870907,0.20922894388344543,0.38242894056847543,1.0,0.09050971502009106,36,243,0.14814814814814814,current_simple_fcn_h128,train_size,-0.0030757400999615603,4,narrow,0.0002656395271616416,-0.02631578947368418,-0.01033591731266148,600,0.0,0.001,all,300,True,-1,-0.004115226337448541,35,243,0.1460976547481738,20,0.22473943141816527,0.0013281976358082083,0.6929824561403509,0.07148711254687744,0.22473943141816527,0.37209302325581395,1.0,0.1254557303820188,0.1440329218106996
600,15058,0.18821022727272727,160,0.20922894388344543,0.010625581086465666,0.7719298245614035,0.06770190471870907,0.20922894388344543,0.46770025839793283,1.0,0.09050971502009106,63,243,0.25925925925925924,current_simple_fcn_h128,train_size,-0.004580334034293115,1,narrow,6.64098817904097e-05,0.0,-0.010335917312661536,600,0.0,0.01,all,300,True,-4,-0.01646090534979422,59,243,0.18362989323843415,161,0.22473943141816527,0.010691990968256076,0.7719298245614035,0.07148711254687744,0.22473943141816527,0.4573643410852713,1.0,0.1254557303820188,0.24279835390946503
600,15058,0.14917339484813535,16,0.20922894388344543,0.0010625581086465667,0.7794117647058824,0.06770190471870907,0.20922894388344543,0.3174061433447099,1.0,0.09050971502009106,32,217,0.14746543778801843,current_simple_fcn_h128,train_size,-0.0030757400999615603,4,narrow,0.0002656395271616416,0.0,-0.0034129692832764458,600,0.0,0.001,non_overlap_only,300,True,-1,-0.004608294930875584,31,217,0.1460976547481738,20,0.22473943141816527,0.0013281976358082083,0.7794117647058824,0.07148711254687744,0.22473943141816527,0.31399317406143346,1.0,0.1254557303820188,0.14285714285714285
600,15058,0.18821022727272727,160,0.20922894388344543,0.010625581086465666,0.7941176470588235,0.06770190471870907,0.20922894388344543,0.4129692832764505,1.0,0.09050971502009106,59,217,0.271889400921659,current_simple_fcn_h128,train_size,-0.004580334034293115,1,narrow,6.64098817904097e-05,0.0,-0.013651877133105783,600,0.0,0.01,non_overlap_only,300,True,-4,-0.01843317972350228,55,217,0.18362989323843415,161,0.22473943141816527,0.010691990968256076,0.7941176470588235,0.07148711254687744,0.22473943141816527,0.3993174061433447,1.0,0.1254557303820188,0.2534562211981567
1000,14165,0.10568669527896996,19,0.14223579297268632,0.0013413342746205436,0.9634146341463414,0.04008013970824983,0.14223579297268632,0.4780361757105943,1.0,0.19453247286154887,63,262,0.24045801526717558,current_simple_fcn_h128,train_size,0.0006505764718356261,-5,default,-0.00035298270384751147,0.0,0.0,1000,0.0,0.001,all,300,True,0,0.0,63,262,0.10633727175080558,14,0.13149148622976642,0.000988351570773032,0.9634146341463414,0.05531477175250464,0.13149148622976642,0.4780361757105943,1.0,0.12440452909350512,0.24045801526717558
1000,14165,0.1401015228426396,152,0.14223579297268632,0.010730674196964348,0.975609756097561,0.04008013970824983,0.14223579297268632,0.5891472868217055,1.0,0.19453247286154887,105,262,0.40076335877862596,current_simple_fcn_h128,train_size,0.0014509885728855032,-1,default,-7.059654076950125e-05,0.0,0.0,1000,0.0,0.01,all,300,True,0,0.0,105,262,0.1415525114155251,151,0.13149148622976642,0.010660077656194847,0.975609756097561,0.05531477175250464,0.13149148622976642,0.5891472868217055,1.0,0.12440452909350512,0.40076335877862596
1000,14165,0.10568669527896996,19,0.14223579297268632,0.0013413342746205436,1.0,0.04008013970824983,0.14223579297268632,0.28078817733990147,,0.19453247286154887,43,189,0.2275132275132275,current_simple_fcn_h128,train_size,0.0006505764718356261,-5,default,-0.00035298270384751147,0.0,0.0049261083743842304,1000,0.0,0.001,non_overlap_only,300,True,1,0.005291005291005291,44,189,0.10633727175080558,14,0.13149148622976642,0.000988351570773032,1.0,0.05531477175250464,0.13149148622976642,0.2857142857142857,,0.12440452909350512,0.2328042328042328
1000,14165,0.1401015228426396,152,0.14223579297268632,0.010730674196964348,1.0,0.04008013970824983,0.14223579297268632,0.43842364532019706,,0.19453247286154887,75,189,0.3968253968253968,current_simple_fcn_h128,train_size,0.0014509885728855032,-1,default,-7.059654076950125e-05,0.0,0.0049261083743842304,1000,0.0,0.01,non_overlap_only,300,True,1,0.005291005291005291,76,189,0.1415525114155251,151,0.13149148622976642,0.010660077656194847,1.0,0.05531477175250464,0.13149148622976642,0.4433497536945813,,0.12440452909350512,0.4021164021164021
1000,15058,0.15113156885308784,19,0.14223579297268632,0.0012617877540177977,0.7456140350877193,0.04008013970824983,0.14223579297268632,0.39018087855297157,1.0,0.1829719735463494,36,243,0.14814814814814814,current_simple_fcn_h128,train_size,0.0010005863524442105,-5,narrow,-0.00033204940895205197,0.0,0.0025839793281653978,1000,0.0,0.001,all,300,True,1,0.004115226337448569,37,243,0.15213215520553205,14,0.13149148622976642,0.0009297383450657458,0.7456140350877193,0.05531477175250464,0.13149148622976642,0.39276485788113696,1.0,0.11645710298385001,0.1522633744855967
1000,15058,0.1934798015591779,158,0.14223579297268632,0.010492761322884845,0.7719298245614035,0.04008013970824983,0.14223579297268632,0.4909560723514212,1.0,0.1829719735463494,72,243,0.2962962962962963,current_simple_fcn_h128,train_size,-0.00027385676087637867,4,narrow,0.00026563952716164227,0.0,-0.00516795865633074,1000,0.0,0.01,all,300,True,-2,-0.008230452674897082,70,243,0.19320594479830153,162,0.13149148622976642,0.010758400850046488,0.7719298245614035,0.05531477175250464,0.13149148622976642,0.48578811369509045,1.0,0.11645710298385001,0.2880658436213992
1000,15058,0.15113156885308784,19,0.14223579297268632,0.0012617877540177977,0.7794117647058824,0.04008013970824983,0.14223579297268632,0.3174061433447099,1.0,0.1829719735463494,32,217,0.14746543778801843,current_simple_fcn_h128,train_size,0.0010005863524442105,-5,narrow,-0.00033204940895205197,0.0,0.0034129692832764458,1000,0.0,0.001,non_overlap_only,300,True,1,0.004608294930875584,33,217,0.15213215520553205,14,0.13149148622976642,0.0009297383450657458,0.7794117647058824,0.05531477175250464,0.13149148622976642,0.32081911262798635,1.0,0.11645710298385001,0.15207373271889402
1000,15058,0.1934798015591779,158,0.14223579297268632,0.010492761322884845,0.7941176470588235,0.04008013970824983,0.14223579297268632,0.43686006825938567,1.0,0.1829719735463494,66,217,0.30414746543778803,current_simple_fcn_h128,train_size,-0.00027385676087637867,4,narrow,0.00026563952716164227,0.0,-0.0068259385665528916,1000,0.0,0.01,non_overlap_only,300,True,-2,-0.009216589861751168,64,217,0.19320594479830153,162,0.13149148622976642,0.010758400850046488,0.7941176470588235,0.05531477175250464,0.13149148622976642,0.4300341296928328,1.0,0.11645710298385001,0.29493087557603687
1500,14165,0.10706638115631692,24,0.08580853454372869,0.001694316978468055,0.9634146341463414,0.03410781897944025,0.08580853454372869,0.4806201550387597,1.0,0.09513991861537481,64,262,0.24427480916030533,current_simple_fcn_h128,train_size,-0.0023683945791357075,-6,default,-0.0004235792446170138,-0.03658536585365846,-0.007751937984496138,1500,0.0,0.001,all,300,True,0,0.0,64,262,0.10469798657718121,18,0.09408809614759446,0.0012707377338510412,0.926829268292683,0.03198757358026709,0.09408809614759446,0.4728682170542636,1.0,0.13531353093397583,0.24427480916030533
1500,14165,0.13584329687102517,152,0.08580853454372869,0.010730674196964348,0.975609756097561,0.03410781897944025,0.08580853454372869,0.5684754521963824,1.0,0.09513991861537481,97,262,0.3702290076335878,current_simple_fcn_h128,train_size,0.004364983545535689,-3,default,-0.00021178962230850723,0.0,0.015503875968992276,1500,0.0,0.01,all,300,True,6,0.02290076335877861,103,262,0.14020828041656086,149,0.09408809614759446,0.010518884574655841,0.975609756097561,0.03198757358026709,0.09408809614759446,0.5839793281653747,1.0,0.13531353093397583,0.3931297709923664
1500,14165,0.10706638115631692,24,0.08580853454372869,0.001694316978468055,1.0,0.03410781897944025,0.08580853454372869,0.2857142857142857,,0.09513991861537481,44,189,0.2328042328042328,current_simple_fcn_h128,train_size,-0.0023683945791357075,-6,default,-0.0004235792446170138,0.0,0.0049261083743842304,1500,0.0,0.001,non_overlap_only,300,True,1,0.005291005291005291,45,189,0.10469798657718121,18,0.09408809614759446,0.0012707377338510412,1.0,0.03198757358026709,0.09408809614759446,0.29064039408866993,,0.13531353093397583,0.23809523809523808
