input_type,magmse_db_to_clean,mse_db_to_clean,mse_power_to_clean,sir_name,source_stage,target_sir_db
clean,0.0,0.0,0.0,,D3/D4-anchor,
mse_model_clean,0.048443113856534624,0.048443113856534624,10139392847.331367,,D3/D4-anchor,
bce_rec_anchor_model_clean,0.0490234113069278,0.0490234113069278,1619806752.8283515,,D3/D4-anchor,
interfered,0.6288538260336516,0.6288538260336516,7367296713.801158,light,D3/D4-anchor,10.0
mse_output,0.05460026126283479,0.05460026126283479,3346019477.975049,light,D3/D4-anchor,10.0
bce_rec_anchor_output,0.07744136348483019,0.07744136348483019,5813339630.596611,light,D3/D4-anchor,10.0
interfered,6.312212692490721,6.312212692490721,485602335068.6868,medium,D3/D4-anchor,0.0
mse_output,0.1680695995408791,0.1680695995408791,32386571790.91976,medium,D3/D4-anchor,0.0
bce_rec_anchor_output,0.17283352196207177,0.17283352196207177,34098518193.401924,medium,D3/D4-anchor,0.0
interfered,31.359072439790605,31.359072439790605,46389343920779.0,severe,D3/D4-anchor,-10.0
mse_output,1.3579996531153278,1.3579996531153278,814190170113.2738,severe,D3/D4-anchor,-10.0
bce_rec_anchor_output,1.6821018422924492,1.6821018422924492,1600617661080.6626,severe,D3/D4-anchor,-10.0
balanced_mild_model_clean,0.04496563823807927,0.04496563823807927,1587008660.5105777,,D3/D4-anchor,
focal_g1_a0p25_model_clean,0.05635040509201576,0.05635040509201576,1550369897.5920346,,D3/D4-anchor,
balanced_mild_output,0.07288428935003848,0.07288428935003848,5244291413.723379,light,D3/D4-anchor,10.0
focal_g1_a0p25_output,0.07766359864028478,0.07766359864028478,5046137255.96153,light,D3/D4-anchor,10.0
balanced_mild_output,0.16712267789838492,0.16712267789838492,34769066079.1117,medium,D3/D4-anchor,0.0
focal_g1_a0p25_output,0.1718396334483478,0.1718396334483478,36352296174.453415,medium,D3/D4-anchor,0.0
balanced_mild_output,1.7751710723750196,1.7751710723750196,1011997153811.8988,severe,D3/D4-anchor,-10.0
focal_g1_a0p25_output,1.9503585967199122,1.9503585967199122,1356813717032.8633,severe,D3/D4-anchor,-10.0
weak_peak_w2p0_model_clean,0.045259687649677846,0.045259687649677846,2001120663.446717,,D5,
weak_peak_w3p0_model_clean,0.058944779618883614,0.058944779618883614,1925829853.6875908,,D5,
weak_peak_w5p0_model_clean,0.0681710545127079,0.0681710545127079,1820798648.9955044,,D5,
weak_cfar_w2p0_model_clean,0.04656831315619905,0.04656831315619905,1160192559.8779724,,D5,
weak_cfar_w3p0_model_clean,0.04906498685751656,0.04906498685751656,1160106277.1440976,,D5,
weak_cfar_w5p0_model_clean,0.04463693712820312,0.04463693712820312,1047381069.106234,,D5,
weak_peak_w2p0_output,0.07921379497620831,0.07921379497620831,5284087494.183907,light,D5,10.0
weak_peak_w3p0_output,0.08265068338363461,0.08265068338363461,5910243022.747714,light,D5,10.0
weak_peak_w5p0_output,0.0945229589066203,0.0945229589066203,6730562787.873677,light,D5,10.0
weak_cfar_w2p0_output,0.07324863692174952,0.07324863692174952,4357672098.047251,light,D5,10.0
weak_cfar_w3p0_output,0.07273879026338237,0.07273879026338237,5182054760.680525,light,D5,10.0
weak_cfar_w5p0_output,0.07808639403063634,0.07808639403063634,5290674134.77693,light,D5,10.0
weak_peak_w2p0_output,0.18798213730087854,0.18798213730087854,42888687742.272835,medium,D5,0.0
weak_peak_w3p0_output,0.17987511093881176,0.17987511093881176,32675225918.994545,medium,D5,0.0
weak_peak_w5p0_output,0.20250701561208903,0.20250701561208903,31896542031.52749,medium,D5,0.0
weak_cfar_w2p0_output,0.17593498591510884,0.17593498591510884,40831128580.650955,medium,D5,0.0
weak_cfar_w3p0_output,0.16565693511260998,0.16565693511260998,35617810423.73534,medium,D5,0.0
weak_cfar_w5p0_output,0.18293736307849612,0.18293736307849612,32942058950.97962,medium,D5,0.0
weak_peak_w2p0_output,1.9051729266769075,1.9051729266769075,1981093640142.191,severe,D5,-10.0
weak_peak_w3p0_output,1.9614040737871516,1.9614040737871516,1189398762037.4111,severe,D5,-10.0
weak_peak_w5p0_output,1.8249457478448836,1.8249457478448836,1029611302332.7751,severe,D5,-10.0
weak_cfar_w2p0_output,1.9400047229166204,1.9400047229166204,1635372790116.6426,severe,D5,-10.0
weak_cfar_w3p0_output,1.7731234717994848,1.7731234717994848,1399201651464.256,severe,D5,-10.0
weak_cfar_w5p0_output,2.1730715729155747,2.1730715729155747,1084050729638.18,severe,D5,-10.0
