input_type,magmse_db_to_clean,mse_db_to_clean,mse_power_to_clean,sir_name,target_sir_db
clean,0.0,0.0,0.0,,
balanced_mild_model_clean,0.06747470300886123,0.06747470300886123,3020347330.6102805,,
d5b_orig_peak_w2p0_model_clean,0.05189958885364776,0.05189958885364776,1120117398.9936092,,
d5b_peak_non_overlap_w2p0_model_clean,0.05227562931116805,0.05227562931116805,1189445638.4272141,,
d5b_peak_overlap_aware_w2p0_model_clean,0.05538135107490869,0.05538135107490869,918091123.3670946,,
d5b_isolated_only_w2p0_model_clean,0.058491408394704104,0.058491408394704104,2128745162.4889214,,
d5b_local_ratio_w2p0_model_clean,0.05541215810490015,0.05541215810490015,1877881644.5287273,,
d5b_range_unique_w2p0_model_clean,0.06794290026359165,0.06794290026359165,2089246858.4372528,,
balanced_mild_output,0.08668132232395724,0.08668132232395724,7122452306.571257,light,10.0
d5b_orig_peak_w2p0_output,0.08497501699964793,0.08497501699964793,3279705794.4944067,light,10.0
d5b_peak_non_overlap_w2p0_output,0.08421620048248847,0.08421620048248847,3731445932.2333846,light,10.0
d5b_peak_overlap_aware_w2p0_output,0.07848175368739081,0.07848175368739081,3120748955.4794292,light,10.0
d5b_isolated_only_w2p0_output,0.08894393532226334,0.08894393532226334,4782093468.644377,light,10.0
d5b_local_ratio_w2p0_output,0.08136369011412713,0.08136369011412713,3585925547.0600915,light,10.0
d5b_range_unique_w2p0_output,0.09102816078242684,0.09102816078242684,3652762659.9022484,light,10.0
balanced_mild_output,0.2153341439535937,0.2153341439535937,44173616401.71876,medium,0.0
d5b_orig_peak_w2p0_output,0.20784471231152635,0.20784471231152635,56725968163.94635,medium,0.0
d5b_peak_non_overlap_w2p0_output,0.20394593393181962,0.20394593393181962,48333215524.03426,medium,0.0
d5b_peak_overlap_aware_w2p0_output,0.19477224263551496,0.19477224263551496,49233962410.61515,medium,0.0
d5b_isolated_only_w2p0_output,0.2057896834463238,0.2057896834463238,44172757884.27246,medium,0.0
d5b_local_ratio_w2p0_output,0.19232046791800675,0.19232046791800675,49129449191.520706,medium,0.0
d5b_range_unique_w2p0_output,0.225234380546739,0.225234380546739,51050554374.22094,medium,0.0
balanced_mild_output,1.5147184030565692,1.5147184030565692,494089490706.9276,severe,-10.0
d5b_orig_peak_w2p0_output,2.1071222876683806,2.1071222876683806,1389411672766.9043,severe,-10.0
d5b_peak_non_overlap_w2p0_output,1.962676719297757,1.962676719297757,1106535278524.0542,severe,-10.0
d5b_peak_overlap_aware_w2p0_output,1.8073304708075866,1.8073304708075866,1037872275643.2695,severe,-10.0
d5b_isolated_only_w2p0_output,2.07624204992707,2.07624204992707,951654993535.156,severe,-10.0
d5b_local_ratio_w2p0_output,1.9550135687996864,1.9550135687996864,1051325582926.8533,severe,-10.0
d5b_range_unique_w2p0_output,2.2442362561086604,2.2442362561086604,1222976149163.6711,severe,-10.0
