angle_total_width_bins,axis_sign,bin_mode,candidate,formula,hit_count,mean_abs_peak_angle_error_deg,mean_contrast_db,overlap_ratio,projection_hit_rate,range_mask_name,subset,target_count,unit_mode
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",29,34.79427976145351,6.246318403140519,0.0,0.07493540051679587,narrow,all,387,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,37.55611064408516,5.40259663460186,0.0,0.0,narrow,weak,243,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",19,30.28985773319031,7.204625982987253,0.0,0.16666666666666666,narrow,mid,114,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",10,29.540253319537218,9.438895924886067,0.0,0.3333333333333333,narrow,strong,30,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,37.55611064408516,5.40259663460186,0.0,0.0,narrow,non_overlap_only_weak,243,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",29,34.79427976145351,6.818767626464213,0.0,0.07493540051679587,narrow,all,387,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,37.55611064408516,6.0516856472188065,0.0,0.00411522633744856,narrow,weak,243,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,30.28985773319031,7.647066317106548,0.0,0.15789473684210525,narrow,mid,114,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",10,29.540253319537218,9.884596633911134,0.0,0.3333333333333333,narrow,strong,30,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,37.55611064408516,6.0516856472188065,0.0,0.00411522633744856,narrow,non_overlap_only_weak,243,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",31,34.79427976145351,7.2921698025646755,0.025839793281653745,0.08010335917312661,narrow,all,387,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,37.55611064408516,6.595439942285357,0.0,0.00411522633744856,narrow,weak,243,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",20,30.28985773319031,8.004265166165537,0.07017543859649122,0.17543859649122806,narrow,mid,114,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",10,29.540253319537218,10.22971928914388,0.06666666666666667,0.3333333333333333,narrow,strong,30,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,37.55611064408516,6.595439942285357,0.0,0.00411522633744856,narrow,non_overlap_only_weak,243,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",37,34.79427976145351,8.135263014209363,0.031007751937984496,0.09560723514211886,narrow,all,387,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",6,37.55611064408516,7.567871768778734,0.0,0.024691358024691357,narrow,weak,243,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",21,30.28985773319031,8.65390774241665,0.07894736842105263,0.18421052631578946,narrow,mid,114,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",10,29.540253319537218,10.760282135009765,0.1,0.3333333333333333,narrow,strong,30,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",6,37.55611064408516,7.567871768778734,0.0,0.024691358024691357,narrow,non_overlap_only_weak,243,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",38,34.79427976145351,8.812732479677027,0.031007751937984496,0.09819121447028424,narrow,all,387,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",6,37.55611064408516,8.364244625892168,0.0,0.024691358024691357,narrow,weak,243,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",22,30.28985773319031,9.191546590704666,0.07894736842105263,0.19298245614035087,narrow,mid,114,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",10,29.540253319537218,11.005990473429362,0.1,0.3333333333333333,narrow,strong,30,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",6,37.55611064408516,8.364244625892168,0.0,0.024691358024691357,narrow,non_overlap_only_weak,243,degrees_correct
7,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",47,34.79427976145351,9.698770547714036,0.031007751937984496,0.12144702842377261,narrow,all,387,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",15,37.55611064408516,9.428349137796786,0.0,0.06172839506172839,narrow,weak,243,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",22,30.28985773319031,9.860603934840151,0.07894736842105263,0.19298245614035087,narrow,mid,114,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",10,29.540253319537218,11.274217096964518,0.1,0.3333333333333333,narrow,strong,30,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",15,37.55611064408516,9.428349137796786,0.0,0.06172839506172839,narrow,non_overlap_only_weak,243,degrees_correct
10,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,narrow,overlap_only_weak,0,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",33,34.67690749879233,7.096689593884372,0.0,0.08527131782945736,default,all,387,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,38.62352619330812,6.144596958888396,0.0,0.003816793893129771,default,weak,262,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",15,27.152112705192977,8.53720334681069,0.0,0.18292682926829268,default,mid,82,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",17,24.979676687443714,10.150785934093387,0.0,0.3953488372093023,default,strong,43,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,38.62352619330812,6.144596958888396,0.0,0.003816793893129771,default,non_overlap_only_weak,262,degrees_correct
1,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,default,overlap_only_weak,0,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",36,34.67690749879233,7.678460941758266,0.015503875968992248,0.09302325581395349,default,all,387,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,38.62352619330812,6.780898130577029,0.0,0.011450381679389313,default,weak,262,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",15,27.152112705192977,8.943097696071717,0.07317073170731707,0.18292682926829268,default,mid,82,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,24.979676687443714,10.735699143520621,0.0,0.4186046511627907,default,strong,43,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,38.62352619330812,6.780898130577029,0.0,0.011450381679389313,default,non_overlap_only_weak,262,degrees_correct
2,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",0,,,0.0,0.0,default,overlap_only_weak,0,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",38,34.67690749879233,8.098684877696272,0.12919896640826872,0.09819121447028424,default,all,387,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",3,38.62352619330812,7.252210151148207,0.011450381679389313,0.011450381679389313,default,weak,262,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",17,27.152112705192977,9.280619691057902,0.35365853658536583,0.2073170731707317,default,mid,82,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,24.979676687443714,11.002352869787881,0.4186046511627907,0.4186046511627907,default,strong,43,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",2,38.91153019125024,7.220471503651741,0.0,0.007722007722007722,default,non_overlap_only_weak,259,degrees_correct
3,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",1,13.759181037638307,9.992313385009766,1.0,0.3333333333333333,default,overlap_only_weak,3,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",45,34.67690749879233,8.928279709138303,0.17054263565891473,0.11627906976744186,default,all,387,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",8,38.62352619330812,8.225285988727599,0.03435114503816794,0.030534351145038167,default,weak,262,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",19,27.152112705192977,9.782780112289801,0.4024390243902439,0.23170731707317074,default,mid,82,degrees_correct
5,normal,fftshift_linear_sin,atan2_px_py_current,"atan2(px, py)",18,24.979676687443714,11.582124399584393,0.5581395348837209,0.4186046511627907,default,strong,43,degrees_correct
