balanced_mild_false_alarm_count,balanced_mild_measured_pfa,balanced_mild_mid_pd,balanced_mild_overall_pd,balanced_mild_strong_pd,balanced_mild_weak_hits,balanced_mild_weak_pd,false_alarm_count_delta,measured_pfa_delta,n_seeds,overall_pd_delta,seed,target_pfa,weak_hit_delta,weak_n,weak_pd_delta,weak_weighting_false_alarm_count,weak_weighting_hit_gain_positive,weak_weighting_improves_weak_pd,weak_weighting_measured_pfa,weak_weighting_mid_pd,weak_weighting_overall_pd,weak_weighting_pfa_not_higher,weak_weighting_strong_pd,weak_weighting_weak_hits,weak_weighting_weak_pd
29092,0.009786972211821406,1.0,1.0,1.0,62,1.0,-58,-1.9512044145663862e-05,,0.0,42,0.01,0,62,0.0,29034,False,False,0.009767460167675742,1.0,1.0,True,1.0,62,1.0
29028,0.009765441680350328,1.0,1.0,1.0,62,1.0,-27,-9.083192964359776e-06,,0.0,200,0.01,0,62,0.0,29001,False,False,0.009756358487385968,1.0,1.0,True,1.0,62,1.0
14729,0.0049550499693358134,1.0,1.0,1.0,62,1.0,-2,-6.728291084712873e-07,,0.0,42,0.005,0,62,0.0,14727,False,False,0.004954377140227342,1.0,1.0,True,1.0,62,1.0
14771,0.004969179380613708,0.9651162790697675,0.9787234042553191,1.0,60,0.967741935483871,-23,-7.737534747418937e-06,,0.0,200,0.005,0,62,0.0,14748,False,False,0.004961441845866289,0.9651162790697675,0.9787234042553191,True,1.0,60,0.967741935483871
3006,0.0010112621500321444,0.5813953488372093,0.723404255319149,0.9540229885057471,37,0.5967741935483871,9,3.0277309881201423e-06,,-0.017021276595744705,42,0.001,0,62,0.0,3015,False,False,0.0010142898810202646,0.5697674418604651,0.7063829787234043,False,0.9195402298850575,37,0.5967741935483871
3031,0.0010196725138880338,0.5465116279069767,0.6382978723404256,0.7471264367816092,38,0.6129032258064516,4,1.3456582169423578e-06,,-0.025531914893617058,200,0.001,-2,62,-0.032258064516129004,3035,False,False,0.0010210181721049762,0.5465116279069767,0.6127659574468085,False,0.7011494252873564,36,0.5806451612903226
1544,0.0005194240717397309,0.3953488372093023,0.5446808510638298,0.8505747126436781,20,0.3225806451612903,-19,-6.391876530476037e-06,,-0.012765957446808529,42,0.0005,-1,62,-0.016129032258064502,1525,False,False,0.0005130321952092549,0.4069767441860465,0.5319148936170213,True,0.8160919540229885,19,0.3064516129032258
1598,0.000537590457668452,0.3953488372093023,0.46382978723404256,0.632183908045977,20,0.3225806451612903,6,2.0184873254135366e-06,,-0.004255319148936176,200,0.0005,0,62,0.0,1604,False,False,0.0005396089449938655,0.3953488372093023,0.4595744680851064,False,0.6206896551724138,20,0.3225806451612903
342,0.00011505377754856733,0.13953488372093023,0.2851063829787234,0.632183908045977,0,0.0,-3,-1.0092436627067412e-06,,-0.017021276595744705,42,0.0001,0,62,0.0,339,False,False,0.00011404453388586059,0.13953488372093023,0.2680851063829787,True,0.5862068965517241,0,0.0
369,0.0001241369705129279,0.11627906976744186,0.17446808510638298,0.3563218390804598,0,0.0,-7,-2.354901879649031e-06,,-0.029787234042553207,200,0.0001,0,62,0.0,362,False,False,0.00012178206863327886,0.11627906976744186,0.14468085106382977,True,0.27586206896551724,0,0.0
29060.0,0.009776206946085867,,1.0,,62.0,1.0,-42.5,-1.429761855501182e-05,2,0.0,mean,0.01,0.0,62.0,0.0,29017.5,,,0.009761909327530856,,1.0,,,62.0,1.0
14750.0,0.00496211467497476,,0.9893617021276595,,61.0,0.9838709677419355,-12.5,-4.205181927945112e-06,2,0.0,mean,0.005,0.0,62.0,0.0,14737.5,,,0.004957909493046815,,0.9893617021276595,,,61.0,0.9838709677419355
3018.5,0.0010154673319600891,,0.6808510638297873,,37.5,0.6048387096774194,6.5,2.18669460253125e-06,2,-0.021276595744680882,mean,0.001,-1.0,62.0,-0.016129032258064502,3025.0,,,0.0010176540265626204,,0.6595744680851063,,,36.5,0.5887096774193549
1571.0,0.0005285072647040914,,0.5042553191489362,,20.0,0.3225806451612903,-6.5,-2.18669460253125e-06,2,-0.008510638297872353,mean,0.0005,-0.5,62.0,-0.008064516129032251,1564.5,,,0.0005263205701015602,,0.4957446808510638,,,19.5,0.31451612903225806
355.5,0.00011959537403074761,,0.2297872340425532,,0.0,0.0,-5.0,-1.6820727711778862e-06,2,-0.023404255319148956,mean,0.0001,0.0,62.0,0.0,350.5,,,0.00011791330125956973,,0.20638297872340425,,,0.0,0.0
