background_cell_count,balanced_mild_false_alarm_count,balanced_mild_measured_pfa,balanced_mild_mid_pd,balanced_mild_overall_pd,balanced_mild_saturated,balanced_mild_strong_pd,balanced_mild_weak_hits,balanced_mild_weak_pd,doppler_radius_bins,false_alarm_count_delta,mask_name,measured_pfa_delta,n_seeds,overall_pd_delta,range_mask_name,seed,target_mask_area_per_frame_mean,target_mask_cell_count_test,target_pfa,weak_hit_delta,weak_n,weak_pd_delta,weak_weighting_false_alarm_count,weak_weighting_improves,weak_weighting_measured_pfa,weak_weighting_mid_pd,weak_weighting_overall_pd,weak_weighting_strong_pd,weak_weighting_weak_hits,weak_weighting_weak_pd
2987468,29069,0.009730313429298657,1.0,1.0,True,1.0,62,1.0,1,-89,narrow_doppler_r1_clean_peak,-2.9791114080551795e-05,,0.0,narrow,42,46.96875,4509,0.01,0,62,0.0,28980,False,0.009700522315218105,1.0,1.0,1.0,62,1.0
2987468,29038,0.009719936749113296,1.0,1.0,True,1.0,62,1.0,1,-33,narrow_doppler_r1_clean_peak,-1.1046143423126473e-05,,0.0,narrow,200,46.96875,4509,0.01,0,62,0.0,29005,False,0.00970889060569017,1.0,1.0,1.0,62,1.0
2982418,29072,0.00974779524533449,1.0,1.0,True,1.0,62,1.0,2,-43,narrow_doppler_r2_clean_peak,-1.4417831437444142e-05,,0.0,narrow,42,77.95833333333333,7484,0.01,0,62,0.0,29029,False,0.009733377413897046,1.0,1.0,1.0,62,1.0
2982418,29111,0.009760871883149847,1.0,1.0,True,1.0,62,1.0,2,-95,narrow_doppler_r2_clean_peak,-3.185334852458775e-05,,0.0,narrow,200,77.95833333333333,7484,0.01,0,62,0.0,29016,False,0.00972901853462526,1.0,1.0,1.0,62,1.0
2977368,29007,0.00974249740038853,1.0,1.0,True,1.0,62,1.0,3,2,narrow_doppler_r3_clean_peak,6.717342296951034e-07,,0.0,narrow,42,108.89583333333333,10454,0.01,0,62,0.0,29009,False,0.009743169134618226,1.0,1.0,1.0,62,1.0
2977368,29038,0.009752909280948812,1.0,1.0,True,1.0,62,1.0,3,-104,narrow_doppler_r3_clean_peak,-3.4930179944166195e-05,,0.0,narrow,200,108.89583333333333,10454,0.01,0,62,0.0,28934,False,0.009717979101004645,1.0,1.0,1.0,62,1.0
2967339,28933,0.009750486884039875,1.0,1.0,True,1.0,62,1.0,5,-83,narrow_doppler_r5_clean_peak,-2.797118900132317e-05,,0.0,narrow,42,170.47916666666666,16366,0.01,0,62,0.0,28850,False,0.009722515695038552,1.0,1.0,1.0,62,1.0
2967339,28852,0.0097231896995928,1.0,1.0,True,1.0,62,1.0,5,-34,narrow_doppler_r5_clean_peak,-1.1458077422228999e-05,,0.0,narrow,200,170.47916666666666,16366,0.01,0,62,0.0,28818,False,0.009711731622170571,1.0,1.0,1.0,62,1.0
2979365,29030,0.009743686993705035,1.0,1.0,True,1.0,62,1.0,1,-30,default_doppler_r1_clean_peak,-1.0069259724807336e-05,,0.0,default,42,69.61458333333333,6683,0.01,0,62,0.0,29000,False,0.009733617733980227,1.0,1.0,1.0,62,1.0
2979365,29079,0.009760133451255553,1.0,1.0,True,1.0,62,1.0,1,-101,default_doppler_r1_clean_peak,-3.389984107351682e-05,,0.0,default,200,69.61458333333333,6683,0.01,0,62,0.0,28978,False,0.009726233610182036,1.0,1.0,1.0,62,1.0
2972523,29092,0.009786972211821406,1.0,1.0,True,1.0,62,1.0,2,-58,default_doppler_r2_clean_peak,-1.9512044145663862e-05,,0.0,default,42,115.27083333333333,11066,0.01,0,62,0.0,29034,False,0.009767460167675742,1.0,1.0,1.0,62,1.0
2972523,29028,0.009765441680350328,1.0,1.0,True,1.0,62,1.0,2,-27,default_doppler_r2_clean_peak,-9.083192964359776e-06,,0.0,default,200,115.27083333333333,11066,0.01,0,62,0.0,29001,False,0.009756358487385968,1.0,1.0,1.0,62,1.0
2965681,29142,0.00982641086482329,1.0,1.0,True,1.0,62,1.0,3,-73,default_doppler_r3_clean_peak,-2.4614919810997393e-05,,0.0,default,42,160.66666666666666,15424,0.01,0,62,0.0,29069,False,0.009801795945012293,1.0,1.0,1.0,62,1.0
2965681,29081,0.009805842233200402,1.0,1.0,True,1.0,62,1.0,3,-79,default_doppler_r3_clean_peak,-2.6638063905053827e-05,,0.0,default,200,160.66666666666666,15424,0.01,0,62,0.0,29002,False,0.009779204169295348,1.0,1.0,1.0,62,1.0
2952161,29005,0.009825006156507048,1.0,1.0,True,1.0,62,1.0,5,-79,default_doppler_r5_clean_peak,-2.6760058140461868e-05,,0.0,default,42,250.79166666666666,24076,0.01,0,62,0.0,28926,False,0.009798246098366586,1.0,1.0,1.0,62,1.0
2952161,28950,0.009806375736282676,1.0,1.0,True,1.0,62,1.0,5,-77,default_doppler_r5_clean_peak,-2.608258831411983e-05,,0.0,default,200,250.79166666666666,24076,0.01,0,62,0.0,28873,False,0.009780293147968556,1.0,1.0,1.0,62,1.0
2968311,28250,0.009517196816640844,1.0,1.0,True,1.0,62,1.0,1,-9,wide_doppler_r1_clean_peak,-3.0320273044157076e-06,,0.0,wide,42,92.29166666666667,8860,0.01,0,62,0.0,28241,False,0.009514164789336428,1.0,1.0,1.0,62,1.0
2968311,28218,0.009506416275114029,1.0,1.0,True,1.0,62,1.0,1,8,wide_doppler_r1_clean_peak,2.695135381704586e-06,,0.0,wide,200,92.29166666666667,8860,0.01,0,62,0.0,28226,False,0.009509111410495734,1.0,1.0,1.0,62,1.0
2959071,28148,0.009512444953162665,1.0,1.0,True,1.0,62,1.0,2,-46,wide_doppler_r2_clean_peak,-1.554541949145595e-05,,0.0,wide,42,153.52083333333334,14738,0.01,0,62,0.0,28102,False,0.00949689953367121,1.0,1.0,1.0,62,1.0
2959071,28079,0.009489126823925482,1.0,1.0,True,1.0,62,1.0,2,-58,wide_doppler_r2_clean_peak,-1.9600746315313194e-05,,0.0,wide,200,153.52083333333334,14738,0.01,0,62,0.0,28021,False,0.009469526077610169,1.0,1.0,1.0,62,1.0
2949953,27965,0.009479812051242851,1.0,1.0,True,1.0,62,1.0,3,-18,wide_doppler_r3_clean_peak,-6.101792130248224e-06,,0.0,wide,42,214.60416666666666,20602,0.01,0,62,0.0,27947,False,0.009473710259112603,1.0,1.0,1.0,62,1.0
2949953,27894,0.00945574387117354,1.0,1.0,True,1.0,62,1.0,3,-22,wide_doppler_r3_clean_peak,-7.457745936969087e-06,,0.0,wide,200,214.60416666666666,20602,0.01,0,62,0.0,27872,False,0.009448286125236571,1.0,1.0,1.0,62,1.0
2932024,27381,0.009338600229738911,1.0,1.0,True,1.0,62,1.0,5,26,wide_doppler_r5_clean_peak,8.86759453537847e-06,,0.0,wide,42,334.7708333333333,32138,0.01,0,62,0.0,27407,False,0.00934746782427429,1.0,1.0,1.0,62,1.0
2932024,27354,0.009329391573875249,1.0,1.0,True,1.0,62,1.0,5,-24,wide_doppler_r5_clean_peak,-8.185471878812897e-06,,0.0,wide,200,334.7708333333333,32138,0.01,0,62,0.0,27330,False,0.009321206101996436,1.0,1.0,1.0,62,1.0
2987468.0,29053.5,0.009725125089205977,,,,,,1.0,1,-61.0,narrow_doppler_r1_clean_peak,-2.0418628751839134e-05,2,,narrow,mean,46.96875,4509.0,,0.0,62.0,0.0,28992.5,,0.009704706460454137,,,,,1.0
2982418.0,29091.5,0.009754333564242169,,,,,,1.0,2,-69.0,narrow_doppler_r2_clean_peak,-2.3135589981015947e-05,2,,narrow,mean,77.95833333333333,7484.0,,0.0,62.0,0.0,29022.5,,0.009731197974261153,,,,,1.0
