balanced_mild_false_alarm_count,balanced_mild_measured_pfa,balanced_mild_mid_pd,balanced_mild_overall_pd,balanced_mild_strong_pd,balanced_mild_weak_hits,balanced_mild_weak_pd,doppler_box_mode,doppler_radius_bins,false_alarm_count_delta,measured_pfa_delta,n_seeds,overall_pd_delta,overlap_ratio_vs_clean_peak_box,scope_note,seed,target_box_area_mean_weak,target_pfa,weak_hit_delta,weak_n,weak_pd_delta,weak_projection_hit_rate_against_clean_peak,weak_weighting_false_alarm_count,weak_weighting_measured_pfa,weak_weighting_mid_pd,weak_weighting_overall_pd,weak_weighting_strong_pd,weak_weighting_weak_hits,weak_weighting_weak_pd
29092,0.009786972211821406,1.0,1.0,1.0,62,1.0,clean_peak,2,-58,-1.9512044145663862e-05,,0.0,1.0,D5D default: range label plus clean-RD Doppler peak projection.,42,48.87096774193548,0.01,0,62,0.0,1.0,29034,0.009767460167675742,1.0,1.0,1.0,62,1.0
29028,0.009765441680350328,1.0,1.0,1.0,62,1.0,clean_peak,2,-27,-9.083192964359776e-06,,0.0,1.0,D5D default: range label plus clean-RD Doppler peak projection.,200,48.87096774193548,0.01,0,62,0.0,1.0,29001,0.009756358487385968,1.0,1.0,1.0,62,1.0
29092,0.009786972211821406,1.0,1.0,1.0,62,1.0,interfered_peak,2,-58,-1.9512044145663862e-05,,0.0,1.0,"Doppler center from interfered RD peak; diagnostic proxy, not GT.",42,48.87096774193548,0.01,0,62,0.0,1.0,29034,0.009767460167675742,1.0,1.0,1.0,62,1.0
29028,0.009765441680350328,1.0,1.0,1.0,62,1.0,interfered_peak,2,-27,-9.083192964359776e-06,,0.0,1.0,"Doppler center from interfered RD peak; diagnostic proxy, not GT.",200,48.87096774193548,0.01,0,62,0.0,1.0,29001,0.009756358487385968,1.0,1.0,1.0,62,1.0
28389,0.009546307442952163,1.0,1.0,1.0,62,1.0,local_window_peak,2,-29,-9.751767087449667e-06,,0.0,0.9193548387096774,Clean RD peak restricted to central local Doppler window.,42,48.87096774193548,0.01,0,62,0.0,0.9193548387096774,28360,0.009536555675864714,1.0,1.0,1.0,62,1.0
28455,0.009568501119771877,1.0,1.0,1.0,62,1.0,local_window_peak,2,-97,-3.26179795683678e-05,,0.0,0.9193548387096774,Clean RD peak restricted to central local Doppler window.,200,48.87096774193548,0.01,0,62,0.0,0.9193548387096774,28358,0.009535883140203509,1.0,1.0,1.0,62,1.0
28583,0.009614666579657124,1.0,1.0,1.0,62,1.0,nearest_high_energy,2,11,3.7001480731983782e-06,,0.0,0.9193548387096774,Nearest high-energy Doppler bin to zero-Doppler among clean RD candidates.,42,48.87096774193548,0.01,0,62,0.0,0.9193548387096774,28594,0.009618366727730322,1.0,1.0,1.0,62,1.0
28598,0.009619712236120577,1.0,1.0,1.0,62,1.0,nearest_high_energy,2,-51,-1.7155231975738566e-05,,0.0,0.9193548387096774,Nearest high-energy Doppler bin to zero-Doppler among clean RD candidates.,200,48.87096774193548,0.01,0,62,0.0,0.9193548387096774,28547,0.009602557004144838,1.0,1.0,1.0,62,1.0
20747,0.009578618355748234,1.0,1.0,1.0,62,1.0,vertical_stripe,0,-70,-3.2318083814642656e-05,,0.0,0.019607843137254898,Doppler-agnostic vertical stripe over the full Doppler axis.,42,2492.4193548387098,0.01,0,62,0.0,1.0,20677,0.00954630027193359,1.0,1.0,1.0,62,1.0
20791,0.009598932579860293,1.0,1.0,1.0,62,1.0,vertical_stripe,0,-70,-3.231808381464092e-05,,0.0,0.019607843137254898,Doppler-agnostic vertical stripe over the full Doppler axis.,200,2492.4193548387098,0.01,0,62,0.0,1.0,20721,0.009566614496045652,1.0,1.0,1.0,62,1.0
29005,0.009825006156507048,1.0,1.0,1.0,62,1.0,multi_bin_uncertainty,5,-79,-2.6760058140461868e-05,,0.0,0.4545454545454544,Clean-peak-centered multi-bin uncertainty box.,42,107.51612903225806,0.01,0,62,0.0,1.0,28926,0.009798246098366586,1.0,1.0,1.0,62,1.0
28950,0.009806375736282676,1.0,1.0,1.0,62,1.0,multi_bin_uncertainty,5,-77,-2.608258831411983e-05,,0.0,0.4545454545454544,Clean-peak-centered multi-bin uncertainty box.,200,107.51612903225806,0.01,0,62,0.0,1.0,28873,0.009780293147968556,1.0,1.0,1.0,62,1.0
29060.0,0.009776206946085867,,,,,1.0,clean_peak,2,-42.5,-1.429761855501182e-05,2,,1.0,,mean,48.87096774193548,,0.0,,0.0,1.0,29017.5,0.009761909327530856,,,,,1.0
29060.0,0.009776206946085867,,,,,1.0,interfered_peak,2,-42.5,-1.429761855501182e-05,2,,1.0,,mean,48.87096774193548,,0.0,,0.0,1.0,29017.5,0.009761909327530856,,,,,1.0
28422.0,0.009557404281362019,,,,,1.0,local_window_peak,2,-63.0,-2.1184873327908735e-05,2,,0.9193548387096774,,mean,48.87096774193548,,0.0,,0.0,0.9193548387096774,28359.0,0.009536219408034112,,,,,1.0
28590.5,0.00961718940788885,,,,,1.0,nearest_high_energy,2,-20.0,-6.727541951270094e-06,2,,0.9193548387096774,,mean,48.87096774193548,,0.0,,0.0,0.9193548387096774,28570.5,0.00961046186593758,,,,,1.0
20769.0,0.009588775467804263,,,,,1.0,vertical_stripe,0,-70.0,-3.231808381464179e-05,2,,0.019607843137254898,,mean,2492.4193548387098,,0.0,,0.0,1.0,20699.0,0.009556457383989622,,,,,1.0
28977.5,0.009815690946394862,,,,,1.0,multi_bin_uncertainty,5,-78.0,-2.642132322729085e-05,2,,0.4545454545454544,,mean,107.51612903225806,,0.0,,0.0,1.0,28899.5,0.009789269623167571,,,,,1.0
