input_type,magmse_db_to_clean,method,mse_db_to_clean,mse_power_to_clean,seed,sir_name
clean,0.0,,0.0,0.0,,
interfered_medium,9.222681045532227,,9.222679375445221,4.3435292442714184e+18,,medium
rd_balanced_mild_seed42_model_clean,0.8139145970344543,balanced_mild,0.8139146377264632,3.915665624759126e+18,42,
rd_balanced_mild_seed42_output,4.722498416900635,balanced_mild,4.72249741872584,4.579955799599452e+18,42,medium
rd_weak_w2p0_seed42_model_clean,0.896203875541687,weak_weighting,0.8962044430968441,3.9151822165408353e+18,42,
rd_weak_w2p0_seed42_output,4.718456745147705,weak_weighting,4.718457225602226,4.593553073081443e+18,42,medium
rd_balanced_mild_seed200_model_clean,1.286803126335144,balanced_mild,1.28680279245963,4.076186815935709e+18,200,
rd_balanced_mild_seed200_output,4.395071029663086,balanced_mild,4.395069496481627,4.690765188657829e+18,200,medium
rd_weak_w2p0_seed200_model_clean,1.4132037162780762,weak_weighting,1.413202774987701,4.0557776913077494e+18,200,
rd_weak_w2p0_seed200_output,4.450948715209961,weak_weighting,4.45094743051263,4.691483937781245e+18,200,medium
