balanced_mild_false_alarm_count,balanced_mild_measured_pfa,balanced_mild_mid_pd,balanced_mild_overall_pd,balanced_mild_strong_pd,balanced_mild_weak_hits,balanced_mild_weak_pd,false_alarm_count_delta,mean_clean_rd_peak_db,mean_range_only_peak_db,mean_target_background_contrast_db,measured_pfa_delta,n_seeds,overall_pd_delta,q_weak,scope_note,seed,target_pfa,test_weak_n,train_weak_n,train_weak_threshold_db,val_weak_n,weak_hit_delta,weak_n,weak_pd_delta,weak_weighting_false_alarm_count,weak_weighting_measured_pfa,weak_weighting_mid_pd,weak_weighting_overall_pd,weak_weighting_strong_pd,weak_weighting_weak_hits,weak_weighting_weak_pd
29092,0.009786972211821406,1.0,1.0,1.0,18,1.0,-58,93.51474804348416,46.77006188750184,31.293583975897896,-1.9512044145663862e-05,,0.0,0.1,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,42,0.01,18,21,48.06689234971739,18,0,18,0.0,29034,0.009767460167675742,1.0,1.0,1.0,18,1.0
29028,0.009765441680350328,1.0,1.0,1.0,18,1.0,-27,93.51474804348416,46.77006188750184,31.293583975897896,-9.083192964359776e-06,,0.0,0.1,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,200,0.01,18,21,48.06689234971739,18,0,18,0.0,29001,0.009756358487385968,1.0,1.0,1.0,18,1.0
29092,0.009786972211821406,1.0,1.0,1.0,37,1.0,-58,94.09083000389305,47.74603475584504,31.86314567359718,-1.9512044145663862e-05,,0.0,0.2,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,42,0.01,37,40,49.21903589230547,43,0,37,0.0,29034,0.009767460167675742,1.0,1.0,1.0,37,1.0
29028,0.009765441680350328,1.0,1.0,1.0,37,1.0,-27,94.09083000389305,47.74603475584504,31.86314567359718,-9.083192964359776e-06,,0.0,0.2,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,200,0.01,37,40,49.21903589230547,43,0,37,0.0,29001,0.009756358487385968,1.0,1.0,1.0,37,1.0
29092,0.009786972211821406,1.0,1.0,1.0,62,1.0,-58,94.65107948549333,48.61445129932625,32.41742890880954,-1.9512044145663862e-05,,0.0,0.3,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,42,0.01,62,56,50.59374745245401,64,0,62,0.0,29034,0.009767460167675742,1.0,1.0,1.0,62,1.0
29028,0.009765441680350328,1.0,1.0,1.0,62,1.0,-27,94.65107948549333,48.61445129932625,32.41742890880954,-9.083192964359776e-06,,0.0,0.3,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,200,0.01,62,56,50.59374745245401,64,0,62,0.0,29001,0.009756358487385968,1.0,1.0,1.0,62,1.0
29092,0.009786972211821406,1.0,1.0,1.0,76,1.0,-58,94.97655517176578,49.08156500261768,32.741320861013314,-1.9512044145663862e-05,,0.0,0.4,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,42,0.01,76,77,51.89274950118183,77,0,76,0.0,29034,0.009767460167675742,1.0,1.0,1.0,76,1.0
29028,0.009765441680350328,1.0,1.0,1.0,76,1.0,-27,94.97655517176578,49.08156500261768,32.741320861013314,-9.083192964359776e-06,,0.0,0.4,Same D5D q30-trained model outputs; this row re-bins evaluation targets by train-only q threshold for difficulty diagnosis.,200,0.01,76,77,51.89274950118183,77,0,76,0.0,29001,0.009756358487385968,1.0,1.0,1.0,76,1.0
,0.009776206946085867,,,,,1.0,,93.51474804348416,46.77006188750184,31.293583975897896,-1.429761855501182e-05,2,,0.1,,mean,,18,21,48.06689234971739,18,0.0,,0.0,,0.009761909327530856,,,,,1.0
,0.009776206946085867,,,,,1.0,,94.09083000389305,47.74603475584504,31.86314567359718,-1.429761855501182e-05,2,,0.2,,mean,,37,40,49.21903589230547,43,0.0,,0.0,,0.009761909327530856,,,,,1.0
,0.009776206946085867,,,,,1.0,,94.65107948549333,48.61445129932625,32.41742890880954,-1.429761855501182e-05,2,,0.3,,mean,,62,56,50.59374745245401,64,0.0,,0.0,,0.009761909327530856,,,,,1.0
,0.009776206946085867,,,,,1.0,,94.97655517176578,49.08156500261768,32.741320861013314,-1.429761855501182e-05,2,,0.4,,mean,,76,77,51.89274950118183,77,0.0,,0.0,,0.009761909327530856,,,,,1.0
